# iter, APOLY_COEFF_1, APOLY_COEFF_2, APOLY_COEFF_3, APOLY_COEFF_4, APOLY_COEFF_5, APOLY_COEFF_6, APOLY_COEFF_7, POWER_AMP, POWER_SLOPE, NA_OPT_FEII_AMP, BR_OPT_FEII_AMP, NA_OPT_FEII_DISP, BR_OPT_FEII_DISP, NA_OPT_FEII_VOFF, BR_OPT_FEII_VOFF, BALMER_AMP, NA_H_BETA_VOFF, NA_H_BETA_AMP, NA_H_BETA_DISP, NA_OIII_a_VOFF, NA_OIII_a_AMP, NA_OIII_a_DISP, NA_OIII_b_VOFF, NA_OIII_b_AMP, NA_OIII_b_DISP, NA_H_ALPHA_VOFF, NA_H_ALPHA_AMP, NA_H_ALPHA_DISP, BR_H_BETA_VOFF, BR_H_BETA_AMP, BR_H_BETA_DISP, BR_OIII_a_VOFF, BR_OIII_a_AMP, BR_OIII_a_DISP, BR_OIII_b_VOFF, BR_OIII_b_AMP, BR_OIII_b_DISP, BR_H_ALPHA_VOFF, BR_H_ALPHA_AMP, BR_H_ALPHA_DISP
 0, 0.30334841653471195, -0.09496852824481661, 0.01294221302324447, 0.0035090022961950197, -0.01752756612438909, -0.016562288239948385, -0.003743189733693886, 0.27546072350776385, -1.8667577169330458, 0.05115725054315818, 5.834469798707521e-10, 202.4959357407216, 4999.993428647905, 206.54941113822966, 499.99972171344075, 0.0, -1.9485339198647602, 0.603211512059286, 50.495243516675714, -0.4933423689053201, 0.003942584243574965, 50.02286141599286, -32.14637123082513, 1.9999985330482257, 49.58153748815988, 75.95333040682955, 0.5489350834661716, 639.7126476391733, 6.219833130317907, 1.0145936838839605e-06, 5600.825719423144, 3540.68321467757, 0.8627950496584109, 1200.0, -117.40196792155852, 0.0, 5151.227507315635, 2.778244325188864, 0.0, 5599.622935089238
100, 0.30334181765580503, -0.09521892979184958, 0.01295420834309296, 0.0037943234486755998, -0.017726416206519272, -0.016384128384434135, -0.0034599278531627217, 0.27562925639417324, -1.866747379719879, 0.05123515682586944, 0.0009266444134469105, 202.49608444512535, 4999.993509299031, 206.5494097858204, 499.99917507429484, 0.0006881449386286211, -1.9488671808143447, 0.6031582891698528, 50.49530650809922, -0.49314524607243143, 0.003920220911842128, 50.02249549147183, -32.14622739473152, 1.999379552035578, 49.58148941364659, 75.95325946003388, 0.548908268476928, 639.7125529283646, 6.220056757261759, 0.000630513445359201, 5600.82560107188, 3540.6832341606214, 0.8630137560729313, 1200.000622605011, -117.40203521464467, 0.0006830017992228268, 5151.227462730221, 2.7782042748095144, 0.0005674541228244096, 5599.62318804546
200, 0.3033546346190386, -0.09535549473769149, 0.012936727957960008, 0.003892386388164029, -0.017863912339978978, -0.016179871806678087, -0.003435190251250899, 0.27550232081274467, -1.866811593332723, 0.0511842282524035, 0.0010501625544619177, 202.49617650837553, 4999.993405413634, 206.5496067631347, 499.9990470454277, 0.0009233313351461638, -1.9489113471236337, 0.6034587336637725, 50.49530679834771, -0.49301641270734436, 0.003959760621802113, 50.022349575907754, -32.14622785131861, 1.9993494505879859, 49.58148281164722, 75.95322285383517, 0.5487790734444435, 639.7124932426284, 6.22034883897092, 0.0007600989661512062, 5600.825747646497, 3540.6834199763202, 0.8634457830999333, 1200.000666602152, -117.40221077598794, 0.0007032178605182655, 5151.227413915772, 2.778153953186834, 0.000606332652955817, 5599.62328277874
300, 0.3032765602119153, -0.09538435809583035, 0.013103042920011718, 0.0040564486770502135, -0.017958629897437357, -0.016103372883166742, -0.003459459579624193, 0.27528468526101996, -1.866905222386552, 0.0510035002838827, 0.0013247461239609432, 202.49648670621008, 4999.993064138712, 206.54956702761174, 499.9985894132052, 0.0009601993416146156, -1.9489861620689217, 0.6036174306764414, 50.495410504302775, -0.49260573550468373, 0.004144874101539767, 50.02215826496305, -32.1460490944076, 1.9991160203155933, 49.58109211637116, 75.95323363787985, 0.5487272842823415, 639.712480493716, 6.220212637746977, 0.0009777390510709821, 5600.825619652722, 3540.6833635025487, 0.8637961854126356, 1200.0008499399514, -117.40262911423287, 0.0007950657437315267, 5151.227405318553, 2.7781531395090133, 0.0008813237100880076, 5599.623346941118
400, 0.3030431974668921, -0.095478976608891, 0.01337360536829482, 0.003960939056911033, -0.018193160685107387, -0.016187292907122567, -0.0033973286624179935, 0.2749194661752057, -1.8669053800530069, 0.05100606310686064, 0.0018085693119584728, 202.49644069618563, 4999.993259554046, 206.54950582712712, 499.99816230883255, 0.001351604185580149, -1.9490322943913647, 0.6038168667238349, 50.4956513592503, -0.4922294519211576, 0.0043886705418634195, 50.02167618899009, -32.145921254294954, 1.9987826474953867, 49.58059014332101, 75.9533511253134, 0.5484874462501942, 639.7120040489524, 6.220540188872997, 0.0013853642636155149, 5600.825454487158, 3540.683820806401, 0.8641446194218009, 1200.0010926987272, -117.40271957918195, 0.0012078008978477803, 5151.227275934345, 2.778058313317756, 0.0011515160656058523, 5599.623285689837
500, 0.30306188784217036, -0.09559595358947558, 0.013599050698377189, 0.0044108670660660855, -0.018638306300240968, -0.01581105820460622, -0.0031808426388915158, 0.2748079304961585, -1.8670415126129323, 0.05101505242962263, 0.0023496557489659895, 202.49655233337086, 4999.992838503422, 206.54906642352162, 499.9978885888206, 0.001701840555537537, -1.9490661294975953, 0.6035021874868871, 50.495848854828395, -0.4922076711616991, 0.004550763728675765, 50.02112263367916, -32.14624153799575, 1.9985214387695205, 49.58033336370985, 75.9534681994614, 0.5482871977089427, 639.7118383205967, 6.220463255991993, 0.0017883226477564042, 5600.82510890663, 3540.683822220952, 0.8648321325966998, 1200.001525790694, -117.40300804201584, 0.0018463814923731477, 5151.226917149448, 2.777868183477838, 0.0015092014044388769, 5599.62349467267
600, 0.30326722392546446, -0.09548101167829426, 0.013759187079282921, 0.004686365275319555, -0.019073736312215317, -0.015361060659656364, -0.002658511211157955, 0.2747618385495753, -1.8668808952104936, 0.05059939532351118, 0.003320000305500163, 202.49683989378315, 4999.991763026845, 206.5484313290469, 499.996756596478, 0.0021328459528219598, -1.9492120741444616, 0.6029818273419172, 50.4962314787506, -0.491536612269085, 0.005874817852746097, 50.02095591304047, -32.146274491269644, 1.9983077101983777, 49.57970268743807, 75.95309037949441, 0.5481435072185163, 639.7110756797243, 6.220527418622684, 0.0022253922518269955, 5600.824936896698, 3540.6840868811755, 0.8653446031280737, 1200.0028587933386, -117.40402778241955, 0.002424568404406701, 5151.225912717575, 2.777849187735892, 0.0017731547440914901, 5599.624011031995
700, 0.303704177083029, -0.09590523112249161, 0.013759187079282921, 0.004999648902650731, -0.019120327125034354, -0.015089138355555991, -0.0016793403330572611, 0.2746998407057383, -1.8661532959598128, 0.05043162773633807, 0.0043221744890339425, 202.49662428325536, 4999.990242118559, 206.5486773508941, 499.99435856963987, 0.002811072280415737, -1.9494380570951138, 0.6022689423900058, 50.4974771927023, -0.4894087035557321, 0.007675043038564035, 50.02004332324881, -32.146232975714895, 1.9976353455552756, 49.57840580825952, 75.95294271909258, 0.5464312423741715, 639.7102333701731, 6.219103185920452, 0.0027884457709337345, 5600.825275503622, 3540.684684163861, 0.8667630170680356, 1200.0039993778014, -117.40504467947292, 0.002930058131485426, 5151.224710842893, 2.7778489315249852, 0.0020663118609526017, 5599.623902398227
800, 0.303638801117659, -0.09634925329984442, 0.014859285720993176, 0.004937992788179892, -0.01959590553939864, -0.014730378637567192, -0.000605741220973067, 0.2747352592476601, -1.8652265079613695, 0.04933498482562591, 0.005413883357836932, 202.49621685427314, 4999.987455037742, 206.548068451901, 499.9927162663566, 0.00407485722981339, -1.9496092651634942, 0.5991650705923485, 50.50024907883967, -0.4868958598733751, 0.011000137368112665, 50.01949491942124, -32.147608913824705, 1.996397510691359, 49.57688183610864, 75.95231286555509, 0.5448568695629561, 639.707743648288, 6.218688994504776, 0.0035115662870638022, 5600.824737351126, 3540.685256603014, 0.8691553521791358, 1200.0050915929114, -117.40626597859813, 0.003904124975312524, 5151.224033101468, 2.7771849785394616, 0.0025898787434263165, 5599.623799051641
900, 0.30353802292444937, -0.09687961435609876, 0.015348964919287836, 0.005272288022629546, -0.02028543740047282, -0.014071901074459447, -0.000406839817732753, 0.27457670949015267, -1.864471278013101, 0.04963462137363728, 0.005860375104096964, 202.49624878729736, 4999.982737209802, 206.54600762660186, 499.991502978936, 0.005106610328247489, -1.9495622236469978, 0.5969704363118755, 50.5030284074994, -0.4842579564273615, 0.013158753537999255, 50.01926346929787, -32.14791890385598, 1.9952977918054162, 49.57387178268629, 75.9521717198258, 0.5431807297236874, 639.703645022754, 6.21812343282702, 0.0041912219247985626, 5600.824253532544, 3540.684498417621, 0.87100156821014, 1200.0073522699704, -117.40792235863934, 0.00461252861224332, 5151.221524973219, 2.7762273662085497, 0.0022554101794052903, 5599.624772663706
