# iter, APOLY_COEFF_1, APOLY_COEFF_2, APOLY_COEFF_3, APOLY_COEFF_4, APOLY_COEFF_5, APOLY_COEFF_6, APOLY_COEFF_7, POWER_AMP, POWER_SLOPE, NA_OPT_FEII_AMP, BR_OPT_FEII_AMP, NA_OPT_FEII_DISP, BR_OPT_FEII_DISP, NA_OPT_FEII_VOFF, BR_OPT_FEII_VOFF, NA_OII_VOFF, NA_OII_AMP, NA_OII_DISP, NA_H_BETA_VOFF, NA_H_BETA_AMP, NA_H_BETA_DISP, NA_OIII_a_VOFF, NA_OIII_a_AMP, NA_OIII_a_DISP, NA_OIII_b_VOFF, NA_OIII_b_AMP, NA_OIII_b_DISP, NA_H_ALPHA_VOFF, NA_H_ALPHA_AMP, NA_H_ALPHA_DISP, BR_H_BETA_VOFF, BR_H_BETA_AMP, BR_H_BETA_DISP, BR_OII_VOFF, BR_OII_AMP, BR_OII_DISP, BR_OIII_a_VOFF, BR_OIII_a_AMP, BR_OIII_a_DISP, BR_OIII_b_VOFF, BR_OIII_b_AMP, BR_OIII_b_DISP, BR_H_ALPHA_VOFF, BR_H_ALPHA_AMP, BR_H_ALPHA_DISP
 0, 0.4087688165563323, -0.16449456496507728, 0.03498862614869014, -0.002858510601255977, -0.017595590111379362, -0.016281091599364413, 0.00016598140925418083, 0.22649977777948405, -2.630766895955003, 0.037316948550620586, 0.0774026675309065, 10.829594355340426, 506.03596738571383, 11.987452375530523, 20.262255472526242, -0.06867707099098164, 4.4382394996080335e-05, 48.57648322196715, 0.19539460457450863, 2.475543916521706e-06, 51.79085831170768, -0.2796748700829342, 2.2618906876735154e-21, 69.56037721046076, 0.8506454063688558, 2.5516562960256487e-05, 53.01120477192951, -1.341228624340066, 7.605115527112269e-06, 69.74583519522808, 59.64740371329611, 0.17780640529299568, 678.0794678792738, -36.004748155366826, 0.2144404683196401, 669.6372466076328, 31.437357505639174, 0.15269638044588968, 500.00000119491403, 203.67363288044126, 0.3705331239368973, 797.7322787183382, 31.832805227712015, 0.5883354898618862, 580.9797702664239
100, 0.4087980565500835, -0.16451006682444438, 0.0350214229796955, -0.002776979999651879, -0.017585916731123724, -0.01626902637334418, 0.00013406112713182638, 0.22644149449098655, -2.6307135707641747, 0.03722222085931594, 0.07736989487077885, 10.829523824355146, 506.0360245152537, 11.987426567408088, 20.262302131662555, -0.06863634805793617, 0.0007491780868025398, 48.5765386473684, 0.1953441679530349, 0.0007273775791096389, 51.790833477828606, -0.279589404045846, 0.0005752384558796958, 69.56023938211356, 0.8506236176177362, 0.0009968795904843376, 53.0112001821818, -1.3412746460436566, 0.0007466454367534199, 69.74578641292769, 59.647446771798556, 0.17781153134829, 678.0795819351364, -36.00475665319715, 0.21431636362636478, 669.6372776681096, 31.437369927339752, 0.15276965159181885, 500.00074608584555, 203.673603312657, 0.3705188360927034, 797.7322874902977, 31.832794607105775, 0.5883643054876176, 580.9798030188565
200, 0.4087453133905573, -0.16449671515173944, 0.034907615046318674, -0.0028659879782362797, -0.017547471814139712, -0.016432931355286742, 7.234558612771117e-05, 0.2264928723458997, -2.6306583158106047, 0.03724106500227139, 0.07730995408832898, 10.82926268404363, 506.0361424535366, 11.987385192743595, 20.262385256160236, -0.0686811197365877, 0.001018645308005696, 48.57648832679069, 0.1951806162584248, 0.0009963349102301488, 51.79073835713322, -0.279476619375913, 0.0007481897687086609, 69.56010622352082, 0.8504529231818685, 0.0016946438438184908, 53.01106306166373, -1.341262290835575, 0.0011134811644634604, 69.745825386814, 59.64753575964795, 0.17769929236068865, 678.0797370133083, -36.004882964189946, 0.21420198939008023, 669.6372836279198, 31.43720998020023, 0.15274161918741835, 500.00107762437506, 203.6733763087359, 0.3703606904039955, 797.7323350601732, 31.83279973146523, 0.5883866810408955, 580.9798827768594
300, 0.40873267237415517, -0.16452872115953837, 0.034882920026767524, -0.0029430386452241643, -0.017520618382983237, -0.01641874820600461, 3.794937415006077e-05, 0.226509614554808, -2.630701958880618, 0.03739215703007493, 0.0773045298930907, 10.828911292791032, 506.0365670721327, 11.987206356644945, 20.26259602248707, -0.06863444181097601, 0.0019500236871111873, 48.576129695719075, 0.19500890093182832, 0.0018651180578125271, 51.79064375900679, -0.27931459093940586, 0.0012095444469461467, 69.56003802216252, 0.850105647857959, 0.0029852495329211223, 53.01073476634202, -1.3414672769337512, 0.0021945301977897517, 69.74595474531836, 59.6476608173624, 0.1775276922742416, 678.0800817982711, -36.00496080597707, 0.21411729856825593, 669.6371440832029, 31.4371810842044, 0.1527850093733234, 500.00183528744213, 203.67295324484573, 0.3700472734523915, 797.732247337884, 31.832596610771215, 0.5885202720616952, 580.9799272989792
400, 0.40878916795431086, -0.16449844078986947, 0.034937276791498294, -0.002919919515385494, -0.01734936547132148, -0.016295392033749898, -3.170598636691342e-05, 0.2264768141122549, -2.630837973289363, 0.037832722245753264, 0.07790556891111171, 10.82834202197005, 506.03760247999986, 11.986941035417338, 20.26328737708925, -0.06854102516690497, 0.003761710521363822, 48.57536033048593, 0.19423154008271892, 0.0036001505097079016, 51.79076287705958, -0.2789879877263569, 0.0023660190825282837, 69.55989958257797, 0.849051804403786, 0.005875858919393077, 53.01005534044536, -1.3414408354276375, 0.004136115415082444, 69.74619459061198, 59.64791104575576, 0.1771120815996406, 678.0810735208571, -36.00504948680094, 0.21441905221618007, 669.6371997058299, 31.436919115502572, 0.15283283586644425, 500.00389798934293, 203.67224476691786, 0.36981288722234634, 797.7324151071716, 31.832275307221988, 0.5885997422043084, 580.9799453159785
500, 0.4087933925439684, -0.16439632476573773, 0.0348379402195542, -0.002896259889235322, -0.017358816519754204, -0.016342728949201656, 3.691589402411016e-05, 0.22646509221672131, -2.6312417570605584, 0.037604435833319114, 0.07847451666849685, 10.82752206854787, 506.0392919113453, 11.986489909499236, 20.264395291701696, -0.06829966818705782, 0.006896800668815677, 48.57471061128226, 0.1930200274081842, 0.006046686017875705, 51.791292761381214, -0.27873341326795814, 0.004176026089775698, 69.55999596431712, 0.8476006569048123, 0.010049724196086973, 53.00829964966987, -1.3412790317692749, 0.0072788857801608636, 69.7473611373237, 59.64809246492412, 0.1765117533116809, 678.0832037786629, -36.004978257547066, 0.21483848256171456, 669.6374703775787, 31.436501167049265, 0.15284201438179246, 500.00688692125516, 203.67115929523848, 0.36972255560377787, 797.7331589974511, 31.83159020204517, 0.589124509023199, 580.9798225637797
600, 0.40875808911574174, -0.16436530405823033, 0.0348952962031224, -0.0029038969131860524, -0.01735011278903554, -0.016230686268344306, 0.00011394393683436879, 0.2264482958698431, -2.630940227049459, 0.038365679548872676, 0.07977940871694097, 10.826651463252881, 506.041881804207, 11.985579554162284, 20.266100882758092, -0.06727743089594002, 0.010710724603411674, 48.573389960104414, 0.192453155795405, 0.009488040370062945, 51.790438527930945, -0.2778927361713525, 0.006365231513682301, 69.55889223095785, 0.845714974681812, 0.014843184343582515, 53.005635193129606, -1.3419576039819192, 0.011455973706051314, 69.7485833068334, 59.64959007903843, 0.17627816989916473, 678.085312613631, -36.0046757647622, 0.21463054757275082, 669.6383114877361, 31.43616868838438, 0.15214114507360824, 500.0108093651057, 203.66979533827575, 0.36932895897689716, 797.7335810542231, 31.829700083300622, 0.5892873507955106, 580.9783340132698
700, 0.4087224372252775, -0.16427700523499922, 0.034844830117284516, -0.0029580085712673397, -0.01730737018516801, -0.01607217958561084, 8.956200955608976e-05, 0.2264660172203609, -2.6310556426924556, 0.03920089826950974, 0.08091636333886625, 10.825778180016012, 506.043305237784, 11.98481865252446, 20.26719651160931, -0.0672783664292013, 0.014709661370801414, 48.572335675800886, 0.1909121889301043, 0.012625023238957403, 51.78935942080188, -0.2787076874730475, 0.008339279539254351, 69.55924621270033, 0.8444966485755075, 0.020231834607014186, 53.00394903139439, -1.344155728510035, 0.015116812410055379, 69.74946492501114, 59.650945065840006, 0.1751704260732349, 678.0890011586206, -36.00348338216932, 0.21367895618151703, 669.6385705085974, 31.435482665852355, 0.15214417716535675, 500.0144626108171, 203.66820724088996, 0.3685905056995097, 797.7344750332959, 31.82791901502982, 0.5883450205126781, 580.9763065132206
800, 0.40828460661873145, -0.16404446832522496, 0.03478582541533551, -0.0030294406883339614, -0.017281049659246334, -0.016079181436767148, 0.00016732069029759447, 0.22663239511503436, -2.628343470123835, 0.040040475788773185, 0.08241026800707996, 10.823367373907182, 506.047240481772, 11.983839990751072, 20.268870784306646, -0.06801550863624625, 0.01890522290867607, 48.5708663055412, 0.19183894300056548, 0.0153728212090762, 51.78775265168573, -0.2773505920672546, 0.010064319028193842, 69.55768765477704, 0.8425378368440255, 0.025780387240690393, 52.9994936859905, -1.3462756895492098, 0.018751557958000806, 69.75241402597783, 59.65188329756229, 0.17433478605522656, 678.0943860877564, -36.00201108832242, 0.21312892928831326, 669.6391608531276, 31.43458988993897, 0.1514402912289059, 500.0189849467098, 203.66573578190403, 0.36770180103963634, 797.7345931067497, 31.828037326504383, 0.5877632499813147, 580.9765307018985
900, 0.4078504272814572, -0.16357375958566564, 0.03463781610927519, -0.0029536584114876205, -0.01727080283104271, -0.016208997171553545, 0.0001689125239818204, 0.22688252512574825, -2.624129190991761, 0.040819077278576796, 0.08443905308921477, 10.821752019581625, 506.05156873828884, 11.97889437634544, 20.266981515338646, -0.06973518740402142, 0.022041288100010346, 48.570544670878306, 0.19216018058338127, 0.01795587024169923, 51.785096900410586, -0.2776819913946937, 0.011855241290078877, 69.55466584745223, 0.8399321411129231, 0.030832097312257827, 52.9936937175861, -1.347301229920492, 0.02232297335490352, 69.75399734089646, 59.653741644141625, 0.1746149719048348, 678.099409634702, -36.001460143415436, 0.21252793270965464, 669.642974067837, 31.430677847389322, 0.15122721962884836, 500.0229903456349, 203.662181635057, 0.36716623750538757, 797.7368404516512, 31.826005516040993, 0.58677558228761, 580.9746113677937
