# iter, APOLY_COEFF_1, APOLY_COEFF_2, APOLY_COEFF_3, APOLY_COEFF_4, APOLY_COEFF_5, APOLY_COEFF_6, APOLY_COEFF_7, POWER_AMP, POWER_SLOPE, NA_HEII_3203_VOFF, NA_HEII_3203_AMP, NA_HEII_3203_DISP, NA_NEV_3346_VOFF, NA_NEV_3346_AMP, NA_NEV_3346_DISP, NA_NEV_3426_AMP, NA_OII_3727_AMP, NA_OII_3729_VOFF, NA_OII_3729_AMP, NA_OII_3729_DISP, NA_NEIII_3869_VOFF, NA_NEIII_3869_AMP, NA_NEIII_3869_DISP, NA_HEI_3889_VOFF, NA_HEI_3889_AMP, NA_HEI_3889_DISP, NA_NEIII_3968_AMP, NA_H_DELTA_AMP, NA_H_GAMMA_VOFF, NA_H_GAMMA_AMP, NA_H_GAMMA_DISP, NA_OIII_4364_AMP, NA_HEII_4687_VOFF, NA_HEII_4687_AMP, NA_HEII_4687_DISP, NA_H_BETA_VOFF, NA_H_BETA_AMP, NA_OIII_5007_VOFF, NA_OIII_5007_AMP, NA_OIII_5007_DISP, NA_FEVI_5638_AMP, NA_FEVI_5677_VOFF, NA_FEVI_5677_AMP, NA_FEVI_5677_DISP, NA_FEVII_5720_AMP, NA_HEI_5876_VOFF, NA_HEI_5876_AMP, NA_HEI_5876_DISP, NA_FEVII_6087_VOFF, NA_FEVII_6087_AMP, NA_FEVII_6087_DISP, NA_OI_6302_AMP, NA_SIII_6312_VOFF, NA_SIII_6312_AMP, NA_FEX_6374_VOFF, NA_FEX_6374_AMP, NA_H_ALPHA_AMP, NA_NII_6585_VOFF, NA_NII_6585_AMP, NA_NII_6585_DISP, NA_SII_6718_AMP, NA_SII_6732_AMP, NA_HEI_7062_VOFF, NA_HEI_7062_AMP, NA_HEI_7062_DISP, NA_ARIII_7135_VOFF, NA_ARIII_7135_AMP, NA_ARIII_7135_DISP, NA_OII_7319_AMP, NA_OII_7331_VOFF, NA_OII_7331_AMP, NA_OII_7331_DISP, BR_H_DELTA_VOFF, BR_H_DELTA_AMP, BR_H_DELTA_DISP, BR_H_GAMMA_VOFF, BR_H_GAMMA_AMP, BR_H_GAMMA_DISP, BR_H_BETA_VOFF, BR_H_BETA_AMP, BR_H_BETA_DISP, BR_H_ALPHA_VOFF, BR_H_ALPHA_AMP, BR_H_ALPHA_DISP
 0, -0.21144346326726726, 0.00480462378251062, -0.0005464669950089685, 0.01852073759458025, -0.019397145240182188, -0.02861603044840763, 0.0005524582314660522, 0.4927255606617902, 0.26536528146187527, -3.1840044529871823, 4.310632225050285, 1.6112141634813513, -79.40752958962271, 19.40102737455993, 2.4888641742728157, 35.21574717995615, 8.912771398105052, -12.791759227030635, 6.987914670431726, 1.0638863276950377, -14.470550069088814, 34.989905845743834, 1.8162487278146238, 4.172915002798096, 5.728084906776117, 11.741072348631254, 10.154162388616937, 0.40660587022085903, 10.591411771045298, 0.6898889889874144, 2.7898833183506015, 0.47482197619488686, 102.93798114095972, 25.7740025705299, 9.785079080858349, 27.367942676602986, 17.402464488167784, -20.11854683416541, 59.44819975536011, 1.9146354531870178, 2.5935013281385486, 9.242742539279588, 0.6745051237063983, 2.3668455762607676, 6.195919548224991, -16.990666335793215, 217.7150885254729, 1.3761328040567207, -20.79367883773582, 16.688317157671634, 0.22932101014227674, 0.025130897439436514, 0.12496624338791933, 0.08834632681522248, -0.1506266809553009, 0.4759444136665849, 21.935387191463388, 30.605047592244336, 9.418417539521444, 2.8950974616277905, 48.59303307609772, 7.266645147172628, -23.088509862397974, 42.28027685322929, 9.8468251318821, 50.16704174426824, 4.62855775877879, 0.5282494264194101, 104.15166169540416, 21.797307075835494, 74.07290437598324, 3.3584063206527692, -33.875977815576924, 4.734167502662832e-06, 376.5095391918025, 16.01431805826552, 9.864021533294635e-07, 281.6682975273102, -98.94321669019011, 0.0, 374.76964161724527, -592.1239590586532, 0.5854626606094018, 586.5451688108659
100, -0.21150634266999122, 0.004728822796014253, -0.0005001929585825441, 0.01863506373100554, -0.019363672966177248, -0.028669047517094617, 0.00047471176465929384, 0.49281852502102547, 0.26542347413630674, -3.1839131451472937, 4.310676255165861, 1.61115941424307, -79.40749053669003, 19.40107535182435, 2.488857462021972, 35.21563793224133, 8.912655194048254, -12.79176377893466, 6.9879024715644515, 1.0639575008598585, -14.470612770410657, 34.98985529304555, 1.8163834388100715, 4.172990949201498, 5.728033096836101, 11.740967036888689, 10.154287117442477, 0.40662021433392065, 10.591688459663166, 0.6899583484014031, 2.789821945044756, 0.47485094900876895, 102.93807133486268, 25.77400260513044, 9.785038387969378, 27.368050971084614, 17.402346896687366, -20.118623958516686, 59.44814669069358, 1.9145707177679456, 2.5934841114865224, 9.24281188229858, 0.6744263565615288, 2.3668159082052016, 6.195794156429272, -16.990671633965018, 217.71507255052515, 1.3762814064586253, -20.793641576929232, 16.688185390919188, 0.2293035137167284, 0.02517090922725293, 0.12501912980663396, 0.08836736595325234, -0.15066566305380635, 0.4759655222551475, 21.935301929576337, 30.605001449065814, 9.418381385807242, 2.8950636764217004, 48.59299654798306, 7.266578217444825, -23.088664227049424, 42.28030421420944, 9.847004598633866, 50.1672052212732, 4.628525394661412, 0.528264688452895, 104.15176920931287, 21.79736001547233, 74.07295060658386, 3.3584705543072015, -33.875985742703804, 0.0007757821728924996, 376.50946065409124, 16.014191169253635, 0.0007558043044779059, 281.66840556066086, -98.94321159169833, 0.0007433551367278114, 374.7695989050763, -592.123939689415, 0.5855309349934198, 586.5452433317556
200, -0.21139366764070353, 0.004883164405064788, -0.0004210885656915987, 0.01851870616480968, -0.019345684007357058, -0.028574341106375502, 0.000406905424353057, 0.49266828108085065, 0.26516187804688235, -3.183824185948042, 4.310341431327071, 1.61104870405918, -79.40733479784353, 19.401177757188073, 2.488728032694181, 35.21551480091116, 8.912181441676141, -12.791876308745351, 6.987862543753741, 1.064138237898709, -14.470688882679855, 34.989894108594626, 1.816455431788996, 4.172868286353001, 5.727854561325654, 11.740626331239612, 10.154362098457202, 0.40602199976172115, 10.591902219115028, 0.6900531006751404, 2.7899404683499847, 0.47510847274285034, 102.93789572976831, 25.773993007263474, 9.784678999920871, 27.368314148051308, 17.402031353570376, -20.118495903212285, 59.44815305708062, 1.914668161462814, 2.593120257667506, 9.242768204563266, 0.6748841028154634, 2.3671482308208343, 6.195677510716873, -16.9908272375047, 217.71509446612453, 1.376267058227714, -20.793557131482473, 16.688356821403797, 0.22957523666808669, 0.025369535919983647, 0.12487888431842836, 0.08816193231491473, -0.15062670667831932, 0.4761684558643239, 21.93514033840521, 30.604963004136422, 9.418191434993219, 2.894817002609818, 48.59278884409899, 7.266546348629229, -23.088875528574754, 42.28048476851467, 9.847076599429945, 50.16743188053282, 4.628353609162933, 0.5284633816620838, 104.15182774919572, 21.797181505243973, 74.07305268072234, 3.358377902384625, -33.87641451109564, 0.0017332527160663126, 376.5093323393566, 16.01424686212111, 0.0017497938106843468, 281.66846694716804, -98.94308270107595, 0.0015707142834312207, 374.7695149412033, -592.1237851608854, 0.5858856640099457, 586.5452334389789
300, -0.2113136945745036, 0.004935234133160992, -0.00040444989842937937, 0.018485395546152777, -0.019356415356510587, -0.028251334512896017, 0.0003506960766423666, 0.4926779313508364, 0.26519468473590196, -3.1844072735167672, 4.3097434654401345, 1.6114160859567288, -79.40688213965046, 19.401301296223604, 2.488432353173067, 35.215394817291106, 8.912212043831998, -12.791605330584668, 6.987978908041741, 1.064435864959134, -14.470411726654328, 34.990241461504354, 1.816659584092353, 4.173061123091494, 5.72804019775207, 11.740395659830984, 10.15464454877365, 0.40553520157623046, 10.591824153558255, 0.6894240518681728, 2.7907483540380422, 0.47497370710840303, 102.93745222801068, 25.774044578681572, 9.784981497212017, 27.368108261032706, 17.402246342952054, -20.117871675314944, 59.44815721150475, 1.914733765526033, 2.592807204164409, 9.242722632006089, 0.6752671017687553, 2.3680072948097095, 6.195888208045023, -16.990782290953746, 217.71573501329735, 1.375951411901977, -20.793781601439935, 16.688534707048376, 0.22900217699974287, 0.025959137788011448, 0.12514132668823805, 0.08812946112185138, -0.15058882713544086, 0.4766445187051148, 21.935736639600258, 30.60490328819988, 9.417719664715543, 2.89435178344487, 48.59275638200178, 7.2668338096735425, -23.089503590946943, 42.280461036351085, 9.846998208714155, 50.168061534645304, 4.628419911833501, 0.5285713626610127, 104.152079825319, 21.797367055236506, 74.07307671194204, 3.358377902384625, -33.87670285709362, 0.0033871177640469917, 376.5096220261853, 16.014185318822108, 0.0034038920275340045, 281.6682311884811, -98.94340711451522, 0.0028965671200499345, 374.76935558478334, -592.1232719142831, 0.5859345603615687, 586.5454750106534
400, -0.21122097395732883, 0.004905748892832351, -0.0003250065572404301, 0.01832126541454481, -0.01931271510481882, -0.02832585769370029, 0.00027400505025412195, 0.4925484408014405, 0.26434821395397284, -3.1848422218962367, 4.308850548596987, 1.6118258422910627, -79.4073151425426, 19.401216108922988, 2.488555458299716, 35.21586963673254, 8.913274076758615, -12.79150793339556, 6.988610963190652, 1.0653719431486093, -14.470916218528316, 34.9906587062521, 1.8173421080046859, 4.173331351136808, 5.728321260931332, 11.740199559094519, 10.15492602919823, 0.4046747985317352, 10.591285514109485, 0.6885150429236405, 2.7905750518254733, 0.47468236682927517, 102.93694307635334, 25.774208527924046, 9.784456411001837, 27.369124265280163, 17.40151426229466, -20.117091331912047, 59.44919774812205, 1.914576176926143, 2.5924198944378847, 9.243149171434276, 0.6755024141367784, 2.369176449752123, 6.196040713113826, -16.990591306755913, 217.71597295804523, 1.3752904804580295, -20.79341651397453, 16.68753128568925, 0.229199906605709, 0.02946410448689147, 0.12560348687583572, 0.08764210031152142, -0.1497388810873813, 0.4778891077110336, 21.936095504794302, 30.6040233711053, 9.417874951058382, 2.893679785912068, 48.592393340253786, 7.267601724716452, -23.09079025465091, 42.28068978127638, 9.847449643104344, 50.16853216235545, 4.628996329797077, 0.5291120352398229, 104.15201125828933, 21.796102463377157, 74.07284469182532, 3.358827659266464, -33.8763347677052, 0.0054708115350393174, 376.5107300294293, 16.01282507784228, 0.005446839064061584, 281.66798097676696, -98.94324152102122, 0.0047479039099622075, 374.7691458780875, -592.1227053425438, 0.5854963915277279, 586.5451366430699
500, -0.21097936255894414, 0.005062326760521965, -0.0005281887213523344, 0.018269370443938913, -0.01936300350938473, -0.02836845030885747, 0.000383033841804741, 0.49256237791359886, 0.26368249246155184, -3.1842167946594073, 4.306831357702254, 1.6117768321284254, -79.40599069881996, 19.401904468876285, 2.4888073074183836, 35.21586105917763, 8.913316273853766, -12.789510454144276, 6.989574294694668, 1.0661612921290373, -14.470481931798295, 34.99166617811558, 1.8183601917003795, 4.172236385030814, 5.730074586715096, 11.741058371608947, 10.156115425417877, 0.4035672648455571, 10.591727833032246, 0.6892152520345555, 2.790676267123282, 0.47442693225312477, 102.9370023468958, 25.77360459729738, 9.784653737614873, 27.370380434673976, 17.40173297073003, -20.11625895224939, 59.450303647491396, 1.9140550367784663, 2.5907532688184465, 9.245174843778358, 0.6738339966937034, 2.371197659027277, 6.195704582821311, -16.990591306755913, 217.71748950013745, 1.3764236116070176, -20.79301312160824, 16.68622402268707, 0.2290161717415703, 0.03710372309322336, 0.127521691074329, 0.08906084606579417, -0.14950285875035763, 0.4798732598175003, 21.938775210438, 30.60370703486617, 9.41720905570942, 2.8936363793507245, 48.592891242976485, 7.267485484556402, -23.091707986523073, 42.28086236189549, 9.847768068879208, 50.16960762526398, 4.628669412252389, 0.5291677729851397, 104.1519965394533, 21.795425738996528, 74.0705484345549, 3.3590670667936897, -33.876576299514674, 0.007355179775247324, 376.5113641331751, 16.010985856702607, 0.0067473838355043385, 281.6680870912659, -98.94421938325698, 0.005753435998281542, 374.7688332302136, -592.121821963575, 0.5858284999563309, 586.5440033084134
600, -0.21088978967022876, 0.0050348551184273135, -0.000715442031676887, 0.01799321097620012, -0.01940667879424092, -0.028368546976860715, 0.00017709897241584456, 0.4926218870110807, 0.2635067395320682, -3.1837007149300462, 4.306740046607976, 1.6077255445970504, -79.40353367360048, 19.40332401005239, 2.488522684173025, 35.216417079740346, 8.914163988294442, -12.788719609450604, 6.990745361620967, 1.068950169398735, -14.472082805623254, 34.992829228962876, 1.8211475545460591, 4.170783920792866, 5.731029067427623, 11.739557920727842, 10.1560371428004, 0.40060227759793515, 10.59237213495654, 0.6885889854828957, 2.789651989464057, 0.4745992527645697, 102.93500519670118, 25.776949174775208, 9.78499154886634, 27.375332296032564, 17.4012718257045, -20.116099954765204, 59.45048696386422, 1.9147785024878274, 2.5891755180094123, 9.244582497879794, 0.673013515811711, 2.3712689768161312, 6.196574433843536, -16.99075269659435, 217.71814624424673, 1.3794851844862266, -20.793289761450396, 16.685691608925744, 0.2297951979443393, 0.04635272029742664, 0.12991919274922284, 0.09065326649011163, -0.14949672196542174, 0.4787154711928198, 21.942719146719863, 30.604069127387778, 9.416144681084926, 2.8919420938680456, 48.59724385916995, 7.2659786338106676, -23.094181904044827, 42.28273469077366, 9.84992863222955, 50.1688090434247, 4.629630237836765, 0.5328019815760868, 104.14936222360593, 21.795652284104516, 74.069744489785, 3.3598931057392294, -33.874891581754284, 0.009012544122191948, 376.5120864639232, 16.009289351489016, 0.007666013419703563, 281.66772739270954, -98.94211913478401, 0.006210150461228274, 374.770193093473, -592.1219572072911, 0.5869595433869135, 586.542408241686
700, -0.21118793307015166, 0.0048999651745276875, -0.0008438372605486253, 0.018048713648972023, -0.01961418992503062, -0.02840356022598538, 0.0001909735236089189, 0.4927053363106703, 0.2645589974067717, -3.1804432582357083, 4.306440296424382, 1.6040543899032391, -79.40154151583484, 19.40743814363535, 2.4881588204210043, 35.215303001252344, 8.915640864192543, -12.788823029335273, 6.990404339526541, 1.071277811530156, -14.471846956893769, 34.99917392459309, 1.820538077117423, 4.17167949441206, 5.7351319683568525, 11.735743870677492, 10.154936947001493, 0.3975777652869313, 10.594419995325032, 0.6890298644064206, 2.7871179570699716, 0.4759172083355983, 102.92658005240355, 25.780822541362845, 9.784610713432171, 27.38359120460696, 17.400900609681845, -20.113488821861765, 59.44868653828939, 1.9126007571941952, 2.5865347538339742, 9.24401680240465, 0.6730047433462975, 2.3736738552131897, 6.199882569283955, -16.991150867465596, 217.72490320400323, 1.3834061446505765, -20.791377598749456, 16.685923186663388, 0.2331634223094377, 0.05450154378558679, 0.13339939487380564, 0.09789127925262642, -0.14759970120955263, 0.48574232113265864, 21.94939301325375, 30.606892388259404, 9.414247315219038, 2.892985198373167, 48.60181153895405, 7.2668837370546795, -23.09752134665066, 42.283686463811605, 9.850258802118073, 50.17081395106219, 4.631643022053903, 0.5371364590995247, 104.14763793186883, 21.79592748030757, 74.06655829517254, 3.3638229331305127, -33.873828977757306, 0.01005837165137138, 376.51586485701336, 16.00740196115414, 0.008688690144999942, 281.6692422683921, -98.94218975249083, 0.006718297657827232, 374.77103662207327, -592.1210449180633, 0.5861339889810631, 586.5365267218066
800, -0.21190480888400282, 0.004860680871742129, -0.0008682080491619953, 0.017976981716974247, -0.019622607338207348, -0.028386605904201893, 0.00019197105429892905, 0.492777925656535, 0.26532127375445375, -3.179012253365001, 4.307114984275403, 1.5936158931007784, -79.3948559958672, 19.406665144825414, 2.4898129335679666, 35.214320473431826, 8.916654080016146, -12.778592020300785, 6.990253398165305, 1.0739370477051746, -14.47160761660361, 35.00432338844616, 1.8249304008432878, 4.172315064694844, 5.736362196880767, 11.727172875827456, 10.150481432313258, 0.3932481843355504, 10.594898596734184, 0.684730047811491, 2.7845060722960095, 0.47869339560983776, 102.92433935116894, 25.787812998966068, 9.78720004998394, 27.394805245791662, 17.399259308156164, -20.112005244289996, 59.44645856575698, 1.9087517352311503, 2.585332354468811, 9.246065108537271, 0.6704226575818404, 2.376060169400993, 6.205066464551013, -16.9905474519283, 217.7285077670871, 1.3842869810203204, -20.794454570156997, 16.68721833615549, 0.23457664932116692, 0.06466905556582953, 0.13707037358506557, 0.10521504745960993, -0.1445918431546811, 0.4921418904192854, 21.953758998264373, 30.612496741382742, 9.40969113233284, 2.8900951809168096, 48.60232253504117, 7.266435293308608, -23.102966353402415, 42.28697370157044, 9.851426915262351, 50.17075749103435, 4.633924114548016, 0.5353244979406332, 104.14864766838292, 21.798027888830877, 74.05947955955695, 3.363586005577564, -33.869322383626304, 0.011342460155702477, 376.5157420765674, 16.00761468029417, 0.009117405183392338, 281.6725253834057, -98.94207142973183, 0.006796810353392442, 374.76699146772245, -592.1163991130967, 0.5854777408389277, 586.528917755105
900, -0.21230895207329517, 0.004860016508775093, -0.0008717820205978088, 0.017923815706797585, -0.019470709719427354, -0.028416999089582826, 0.0002407209629845409, 0.4930464554127214, 0.267187517177837, -3.1802035661100105, 4.307376886029441, 1.5927836996958806, -79.38740933161206, 19.409610926548524, 2.484457314889068, 35.213529615715736, 8.920893105384286, -12.766104909613494, 6.98618793497373, 1.0756161947832688, -14.47117564373579, 35.01461340988093, 1.8311397904773623, 4.172931921441612, 5.736588695889787, 11.723519171582032, 10.14991788703897, 0.3922096173334281, 10.595386981925614, 0.6823682430152486, 2.7808268073921463, 0.483722753611551, 102.92328165679979, 25.79812086159415, 9.788014184075095, 27.40467882176088, 17.401883380117113, -20.11494155400029, 59.45031089424439, 1.9016263886041544, 2.5825641044332537, 9.2436309568812, 0.6711467049477489, 2.37839052407604, 6.2108123698247955, -16.982679193196375, 217.73222139135999, 1.3824093057326827, -20.796058217449723, 16.68972218931268, 0.24196260886607723, 0.07474349318982125, 0.13963734286910193, 0.11827149561152991, -0.14518589280432745, 0.5064967414198941, 21.963518935562114, 30.61774617983271, 9.405560643521287, 2.882568402280057, 48.60902591713796, 7.267359582879913, -23.104769443379553, 42.28542096566671, 9.853616559020278, 50.17428908598373, 4.63807432828818, 0.5390197446121504, 104.14503391604916, 21.793576729575758, 74.04613685715657, 3.3621786882802542, -33.86894182792748, 0.012293043470626496, 376.51778601311435, 16.00629999934584, 0.009436028066842654, 281.67425580362, -98.94079583300305, 0.0066655945062360205, 374.76551985004386, -592.1138735534944, 0.5859177064682703, 586.5263381650113
