,wave,flux,error,model,cont,OIIIb_br,OIIIb_na,hbeta_br,hbeta_na,halpha_br,halpha_na
0,2966.5647,3.11388,1.348,3.27564907018578,3.27564907018578,0.0,0.0,0.0,0.0,0.0,0.0
1,2968.2786,3.12736,1.348,3.2756459106775035,3.2756459106775035,0.0,0.0,0.0,0.0,0.0,0.0
2,2969.998,3.11388,1.348,3.275642742653348,3.275642742653348,0.0,0.0,0.0,0.0,0.0,0.0
3,2971.719,3.12736,1.348,3.27563957376933,3.27563957376933,0.0,0.0,0.0,0.0,0.0,0.0
4,2973.4392,3.11388,1.348,3.27563640807045,3.27563640807045,0.0,0.0,0.0,0.0,0.0,0.0
5,2975.16,3.12736,1.348,3.27563324330774,3.27563324330774,0.0,0.0,0.0,0.0,0.0,0.0
6,2976.874,3.12736,1.348,3.2756300924912085,3.2756300924912085,0.0,0.0,0.0,0.0,0.0,0.0
7,2978.5938,3.15432,1.348,3.275626933178669,3.275626933178669,0.0,0.0,0.0,0.0,0.0,0.0
8,2980.3145,3.1812804,1.348,3.275623773900225,3.275623773900225,0.0,0.0,0.0,0.0,0.0,0.0
9,2982.036,3.2217202,1.348,3.27562061510474,3.27562061510474,0.0,0.0,0.0,0.0,0.0,0.0
10,2983.7554,3.2621598,1.348,3.2756174617160796,3.2756174617160796,0.0,0.0,0.0,0.0,0.0,0.0
11,2985.4758,3.3026,1.348,3.2756143083577833,3.2756143083577833,0.0,0.0,0.0,0.0,0.0,0.0
12,2987.1973,3.3430402,1.348,3.2756111550308504,3.2756111550308504,0.0,0.0,0.0,0.0,0.0,0.0
13,2988.918,3.38348,1.348,3.2756080048640888,3.2756080048640888,0.0,0.0,0.0,0.0,0.0,0.0
14,2990.6384,3.41044,1.348,3.275604856959938,3.275604856959938,0.0,0.0,0.0,0.0,0.0,0.0
15,2992.3596,3.45088,1.348,3.275601709530274,3.275601709530274,0.0,0.0,0.0,0.0,0.0,0.0
16,2994.08,3.46436,1.348,3.275598565251674,3.275598565251674,0.0,0.0,0.0,0.0,0.0,0.0
17,2995.808,3.45088,1.348,3.275595408962497,3.275595408962497,0.0,0.0,0.0,0.0,0.0,0.0
18,2997.5288,3.4374,1.348,3.2755922678627436,3.2755922678627436,0.0,0.0,0.0,0.0,0.0,0.0
19,2999.249,3.38348,1.348,3.2755891294591777,3.2755891294591777,0.0,0.0,0.0,0.0,0.0,0.0
20,3000.9702,3.3295603,1.348,3.275585991077997,3.275585991077997,0.0,0.0,0.0,0.0,0.0,0.0
21,3002.6973,3.2756402,1.348,3.275582843824669,3.275582843824669,0.0,0.0,0.0,0.0,0.0,0.0
22,3004.4185,3.20824,1.348,3.275579709052528,3.275579709052528,0.0,0.0,0.0,0.0,0.0,0.0
23,3006.1394,3.15432,1.348,3.275576576523006,3.275576576523006,0.0,0.0,0.0,0.0,0.0,0.0
24,3007.8594,3.1004,1.348,3.275573447565313,3.275573447565313,0.0,0.0,0.0,0.0,0.0,0.0
25,3009.5872,3.0599601,1.348,3.2755703061990937,3.2755703061990937,0.0,0.0,0.0,0.0,0.0,0.0
26,3011.3076,3.033,1.348,3.275567179943857,3.275567179943857,0.0,0.0,0.0,0.0,0.0,0.0
27,3013.0356,3.00604,1.348,3.275564041736534,3.275564041736534,0.0,0.0,0.0,0.0,0.0,0.0
28,3014.7563,2.9790797,1.348,3.27556091862132,3.27556091862132,0.0,0.0,0.0,0.0,0.0,0.0
29,3016.485,2.9656003,1.348,3.275557782680692,3.275557782680692,0.0,0.0,0.0,0.0,0.0,0.0
30,3018.2065,2.9656003,1.348,3.2755546618143576,3.2755546618143576,0.0,0.0,0.0,0.0,0.0,0.0
31,3019.9336,2.9925601,1.348,3.2755515325590965,3.2755515325590965,0.0,0.0,0.0,0.0,0.0,0.0
32,3021.6548,3.01952,1.348,3.275548415703417,3.275548415703417,0.0,0.0,0.0,0.0,0.0,0.0
33,3023.3823,3.0599601,1.348,3.275545289140673,3.275545289140673,0.0,0.0,0.0,0.0,0.0,0.0
34,3025.1106,3.1004,1.348,3.275542163042469,3.275542163042469,0.0,0.0,0.0,0.0,0.0,0.0
35,3026.8315,3.14084,1.348,3.2755390519694036,3.2755390519694036,0.0,0.0,0.0,0.0,0.0,0.0
36,3028.5586,3.1947598,1.348,3.2755359316433243,3.2755359316433243,0.0,0.0,0.0,0.0,0.0,0.0
37,3030.2866,3.2486799,1.348,3.2755328113362094,3.2755328113362094,0.0,0.0,0.0,0.0,0.0,0.0
38,3032.007,3.2891202,1.348,3.2755297064654556,3.2755297064654556,0.0,0.0,0.0,0.0,0.0,0.0
39,3033.7356,3.3295603,1.348,3.2755265888317306,3.2755265888317306,0.0,0.0,0.0,0.0,0.0,0.0
40,3035.463,3.3565197,1.348,3.2755234751766182,3.2755234751766182,0.0,0.0,0.0,0.0,0.0,0.0
41,3037.1914,3.3700001,1.348,3.275520361097166,3.275520361097166,0.0,0.0,0.0,0.0,0.0,0.0
42,3038.9192,3.38348,1.348,3.275517250110839,3.275517250110839,0.0,0.0,0.0,0.0,0.0,0.0
43,3040.64,3.39696,1.348,3.2755141536329924,3.2755141536329924,0.0,0.0,0.0,0.0,0.0,0.0
44,3042.3682,3.41044,1.348,3.2755110453018856,3.2755110453018856,0.0,0.0,0.0,0.0,0.0,0.0
45,3044.0955,3.4239202,1.348,3.2755079404938368,3.2755079404938368,0.0,0.0,0.0,0.0,0.0,0.0
46,3045.824,3.4374,1.348,3.2755048352576335,3.2755048352576335,0.0,0.0,0.0,0.0,0.0,0.0
47,3047.5522,3.45088,1.348,3.2755017322243227,3.2755017322243227,0.0,0.0,0.0,0.0,0.0,0.0
48,3049.2808,3.45088,1.348,3.275498630515215,3.275498630515215,0.0,0.0,0.0,0.0,0.0,0.0
49,3051.0085,3.45088,1.348,3.275495531879944,3.275495531879944,0.0,0.0,0.0,0.0,0.0,0.0
50,3052.736,3.45088,1.348,3.275492435439333,3.275492435439333,0.0,0.0,0.0,0.0,0.0,0.0
51,3054.4646,3.4239202,1.348,3.27548933900452,3.27548933900452,0.0,0.0,0.0,0.0,0.0,0.0
52,3056.2004,3.41044,1.348,3.2754862312150816,3.2754862312150816,0.0,0.0,0.0,0.0,0.0,0.0
53,3057.9275,3.38348,1.348,3.2754831409154734,3.2754831409154734,0.0,0.0,0.0,0.0,0.0,0.0
54,3059.6558,3.3565197,1.348,3.275480050181206,3.275480050181206,0.0,0.0,0.0,0.0,0.0,0.0
55,3061.3843,3.3430402,1.348,3.2754769607589513,3.2754769607589513,0.0,0.0,0.0,0.0,0.0,0.0
56,3063.1123,3.3295603,1.348,3.27547387395544,3.27547387395544,0.0,0.0,0.0,0.0,0.0,0.0
57,3064.8472,3.31608,1.348,3.275470776694948,3.275470776694948,0.0,0.0,0.0,0.0,0.0,0.0
58,3066.5752,3.3026,1.348,3.2754676933839724,3.2754676933839724,0.0,0.0,0.0,0.0,0.0,0.0
59,3068.3035,3.2891202,1.348,3.275464611377615,3.275464611377615,0.0,0.0,0.0,0.0,0.0,0.0
60,3070.0388,3.2891202,1.348,3.27546151849453,3.27546151849453,0.0,0.0,0.0,0.0,0.0,0.0
61,3071.7668,3.3026,1.348,3.2754584404048797,3.2754584404048797,0.0,0.0,0.0,0.0,0.0,0.0
62,3073.4956,3.31608,1.348,3.2754553627456753,3.2754553627456753,0.0,0.0,0.0,0.0,0.0,0.0
63,3075.231,3.3430402,1.348,3.275452275094722,3.275452275094722,0.0,0.0,0.0,0.0,0.0,0.0
64,3076.9585,3.3700001,1.348,3.275449203077295,3.275449203077295,0.0,0.0,0.0,0.0,0.0,0.0
65,3078.6938,3.39696,1.348,3.2754461189060846,3.2754461189060846,0.0,0.0,0.0,0.0,0.0,0.0
66,3080.4214,3.4239202,1.348,3.275443050348835,3.275443050348835,0.0,0.0,0.0,0.0,0.0,0.0
67,3082.1572,3.4374,1.348,3.2754399687829587,3.2754399687829587,0.0,0.0,0.0,0.0,0.0,0.0
68,3083.8853,3.45088,1.348,3.275436902812499,3.275436902812499,0.0,0.0,0.0,0.0,0.0,0.0
69,3085.621,3.46436,1.348,3.275433824712687,3.275433824712687,0.0,0.0,0.0,0.0,0.0,0.0
70,3087.3494,3.45088,1.348,3.2754307617562533,3.2754307617562533,0.0,0.0,0.0,0.0,0.0,0.0
71,3089.084,3.45088,1.348,3.2754276892765537,3.2754276892765537,0.0,0.0,0.0,0.0,0.0,0.0
72,3090.819,3.4239202,1.348,3.275424617660396,3.275424617660396,0.0,0.0,0.0,0.0,0.0,0.0
73,3092.5488,3.41044,1.348,3.2754215572712613,3.2754215572712613,0.0,0.0,0.0,0.0,0.0,0.0
74,3094.2827,3.38348,1.348,3.2754184912592206,3.2754184912592206,0.0,0.0,0.0,0.0,0.0,0.0
75,3096.0188,3.3565197,1.348,3.2754154230854833,3.2754154230854833,0.0,0.0,0.0,0.0,0.0,0.0
76,3097.7551,3.31608,1.348,3.2754123562034994,3.2754123562034994,0.0,0.0,0.0,0.0,0.0,0.0
77,3099.49,3.2756402,1.348,3.2754092936281087,3.2754092936281087,0.0,0.0,0.0,0.0,0.0,0.0
78,3101.2175,3.2486799,1.348,3.27540624568798,3.27540624568798,0.0,0.0,0.0,0.0,0.0,0.0
79,3102.953,3.2217202,1.348,3.275403185675834,3.275403185675834,0.0,0.0,0.0,0.0,0.0,0.0
80,3104.69,3.1947598,1.348,3.2754001243664166,3.2754001243664166,0.0,0.0,0.0,0.0,0.0,0.0
81,3106.4236,3.1812804,1.348,3.275397070790769,3.275397070790769,0.0,0.0,0.0,0.0,0.0,0.0
