tag,catalogid,z,tool,n_files,log_ok,key_outputs
04545183216,4545183216,0.4675198495388031,pyqsofit,5,True,qsopar.fits;output.fits;result.pdf
04545183216,4545183216,0.4675198495388031,badass,11,True,spectrum.pdf
04545183216,4545183216,0.4675198495388031,fantasy_agn,15,True,feII_model.csv;my_sdss_model.csv;my_sdss_pars.json
04545183216,4545183216,0.4675198495388031,gelato,5,,my_sdss-results.fits;my_sdss-comp.pdf;my_sdss-fit.pdf;my_sdss-spec.pdf
04545183216,4545183216,0.4675198495388031,gleam,9,,linefits.sdss.sdss.fiber1.001.Ha.NII1.png;linefits.sdss.sdss.fiber1.001.Hb.png;linefits.sdss.sdss.fiber1.001.OII.png;linefits.sdss.sdss.fiber1.001.OIII4.png;linefits.sdss.sdss.fiber1.001.OIII5.png;linefits.sdss.sdss.fiber1.001.SII1.SII2.png;linefits.sdss.sdss.fiber1.001.png;linefits.sdss.sdss.fiber1.001.fits
04570362657,4570362657,0.31352314352989197,pyqsofit,5,True,qsopar.fits;output.fits;result.pdf
04570362657,4570362657,0.31352314352989197,badass,3,True,spectrum.pdf
04570362657,4570362657,0.31352314352989197,fantasy_agn,15,True,feII_model.csv;my_sdss_model.csv;my_sdss_pars.json
04570362657,4570362657,0.31352314352989197,gelato,5,,my_sdss-results.fits;my_sdss-comp.pdf;my_sdss-fit.pdf;my_sdss-spec.pdf
04570362657,4570362657,0.31352314352989197,gleam,9,,linefits.sdss.sdss.fiber1.001.Ha.NII1.png;linefits.sdss.sdss.fiber1.001.Hb.png;linefits.sdss.sdss.fiber1.001.OII.png;linefits.sdss.sdss.fiber1.001.OIII4.png;linefits.sdss.sdss.fiber1.001.OIII5.png;linefits.sdss.sdss.fiber1.001.SII1.SII2.png;linefits.sdss.sdss.fiber1.001.png;linefits.sdss.sdss.fiber1.001.fits
04570493016,4570493016,0.3231107294559479,pyqsofit,5,True,qsopar.fits;output.fits;result.pdf
04570493016,4570493016,0.3231107294559479,badass,11,True,spectrum.pdf
04570493016,4570493016,0.3231107294559479,fantasy_agn,15,True,feII_model.csv;my_sdss_model.csv;my_sdss_pars.json
04570493016,4570493016,0.3231107294559479,gelato,5,,my_sdss-results.fits;my_sdss-comp.pdf;my_sdss-fit.pdf;my_sdss-spec.pdf
04570493016,4570493016,0.3231107294559479,gleam,9,,linefits.sdss.sdss.fiber1.001.Ha.NII1.png;linefits.sdss.sdss.fiber1.001.Hb.png;linefits.sdss.sdss.fiber1.001.OII.png;linefits.sdss.sdss.fiber1.001.OIII4.png;linefits.sdss.sdss.fiber1.001.OIII5.png;linefits.sdss.sdss.fiber1.001.SII1.SII2.png;linefits.sdss.sdss.fiber1.001.png;linefits.sdss.sdss.fiber1.001.fits
04592503068,4592503068,0.1967448890209198,pyqsofit,5,True,qsopar.fits;output.fits;result.pdf
04592503068,4592503068,0.1967448890209198,badass,11,True,spectrum.pdf
04592503068,4592503068,0.1967448890209198,fantasy_agn,15,True,feII_model.csv;my_sdss_model.csv;my_sdss_pars.json
04592503068,4592503068,0.1967448890209198,gelato,5,,my_sdss-results.fits;my_sdss-comp.pdf;my_sdss-fit.pdf;my_sdss-spec.pdf
04592503068,4592503068,0.1967448890209198,gleam,9,,linefits.sdss.sdss.fiber1.001.Ha.NII1.png;linefits.sdss.sdss.fiber1.001.Hb.png;linefits.sdss.sdss.fiber1.001.OII.png;linefits.sdss.sdss.fiber1.001.OIII4.png;linefits.sdss.sdss.fiber1.001.OIII5.png;linefits.sdss.sdss.fiber1.001.SII1.SII2.png;linefits.sdss.sdss.fiber1.001.png;linefits.sdss.sdss.fiber1.001.fits
04592517882,4592517882,0.37709343433380127,pyqsofit,5,True,qsopar.fits;output.fits;result.pdf
04592517882,4592517882,0.37709343433380127,badass,3,True,spectrum.pdf
04592517882,4592517882,0.37709343433380127,fantasy_agn,15,True,feII_model.csv;my_sdss_model.csv;my_sdss_pars.json
04592517882,4592517882,0.37709343433380127,gelato,5,,my_sdss-results.fits;my_sdss-comp.pdf;my_sdss-fit.pdf;my_sdss-spec.pdf
04592517882,4592517882,0.37709343433380127,gleam,9,,linefits.sdss.sdss.fiber1.001.Ha.NII1.png;linefits.sdss.sdss.fiber1.001.Hb.png;linefits.sdss.sdss.fiber1.001.OII.png;linefits.sdss.sdss.fiber1.001.OIII4.png;linefits.sdss.sdss.fiber1.001.OIII5.png;linefits.sdss.sdss.fiber1.001.SII1.SII2.png;linefits.sdss.sdss.fiber1.001.png;linefits.sdss.sdss.fiber1.001.fits
04592660180,4592660180,0.34872591495513916,pyqsofit,5,True,qsopar.fits;output.fits;result.pdf
04592660180,4592660180,0.34872591495513916,badass,11,True,spectrum.pdf
04592660180,4592660180,0.34872591495513916,fantasy_agn,15,True,feII_model.csv;my_sdss_model.csv;my_sdss_pars.json
04592660180,4592660180,0.34872591495513916,gelato,5,,my_sdss-results.fits;my_sdss-comp.pdf;my_sdss-fit.pdf;my_sdss-spec.pdf
04592660180,4592660180,0.34872591495513916,gleam,9,,linefits.sdss.sdss.fiber1.001.Ha.NII1.png;linefits.sdss.sdss.fiber1.001.Hb.png;linefits.sdss.sdss.fiber1.001.OII.png;linefits.sdss.sdss.fiber1.001.OIII4.png;linefits.sdss.sdss.fiber1.001.OIII5.png;linefits.sdss.sdss.fiber1.001.SII1.SII2.png;linefits.sdss.sdss.fiber1.001.png;linefits.sdss.sdss.fiber1.001.fits
04592939295,4592939295,0.17511339485645294,pyqsofit,5,True,qsopar.fits;output.fits;result.pdf
04592939295,4592939295,0.17511339485645294,badass,11,True,spectrum.pdf
04592939295,4592939295,0.17511339485645294,fantasy_agn,15,True,feII_model.csv;my_sdss_model.csv;my_sdss_pars.json
04592939295,4592939295,0.17511339485645294,gelato,5,,my_sdss-results.fits;my_sdss-comp.pdf;my_sdss-fit.pdf;my_sdss-spec.pdf
04592939295,4592939295,0.17511339485645294,gleam,9,,linefits.sdss.sdss.fiber1.001.Ha.NII1.png;linefits.sdss.sdss.fiber1.001.Hb.png;linefits.sdss.sdss.fiber1.001.OII.png;linefits.sdss.sdss.fiber1.001.OIII4.png;linefits.sdss.sdss.fiber1.001.OIII5.png;linefits.sdss.sdss.fiber1.001.SII1.SII2.png;linefits.sdss.sdss.fiber1.001.png;linefits.sdss.sdss.fiber1.001.fits
04592975881,4592975881,0.29768213629722595,pyqsofit,5,True,qsopar.fits;output.fits;result.pdf
04592975881,4592975881,0.29768213629722595,badass,11,True,spectrum.pdf
04592975881,4592975881,0.29768213629722595,fantasy_agn,15,True,feII_model.csv;my_sdss_model.csv;my_sdss_pars.json
04592975881,4592975881,0.29768213629722595,gelato,5,,my_sdss-results.fits;my_sdss-comp.pdf;my_sdss-fit.pdf;my_sdss-spec.pdf
04592975881,4592975881,0.29768213629722595,gleam,9,,linefits.sdss.sdss.fiber1.001.Ha.NII1.png;linefits.sdss.sdss.fiber1.001.Hb.png;linefits.sdss.sdss.fiber1.001.OII.png;linefits.sdss.sdss.fiber1.001.OIII4.png;linefits.sdss.sdss.fiber1.001.OIII5.png;linefits.sdss.sdss.fiber1.001.SII1.SII2.png;linefits.sdss.sdss.fiber1.001.png;linefits.sdss.sdss.fiber1.001.fits
04592979214,4592979214,0.09091717004776001,pyqsofit,5,True,qsopar.fits;output.fits;result.pdf
04592979214,4592979214,0.09091717004776001,badass,11,True,spectrum.pdf
04592979214,4592979214,0.09091717004776001,fantasy_agn,15,True,feII_model.csv;my_sdss_model.csv;my_sdss_pars.json
04592979214,4592979214,0.09091717004776001,gelato,5,,my_sdss-results.fits;my_sdss-comp.pdf;my_sdss-fit.pdf;my_sdss-spec.pdf
04592979214,4592979214,0.09091717004776001,gleam,9,,linefits.sdss.sdss.fiber1.001.Ha.NII1.png;linefits.sdss.sdss.fiber1.001.Hb.png;linefits.sdss.sdss.fiber1.001.OII.png;linefits.sdss.sdss.fiber1.001.OIII4.png;linefits.sdss.sdss.fiber1.001.OIII5.png;linefits.sdss.sdss.fiber1.001.SII1.SII2.png;linefits.sdss.sdss.fiber1.001.png;linefits.sdss.sdss.fiber1.001.fits
06872228427,6872228427,0.08313549309968948,pyqsofit,5,True,qsopar.fits;output.fits;result.pdf
06872228427,6872228427,0.08313549309968948,badass,11,True,spectrum.pdf
06872228427,6872228427,0.08313549309968948,fantasy_agn,13,True,feII_model.csv
06872228427,6872228427,0.08313549309968948,gelato,5,,my_sdss-results.fits;my_sdss-comp.pdf;my_sdss-fit.pdf;my_sdss-spec.pdf
06872228427,6872228427,0.08313549309968948,gleam,9,,linefits.sdss.sdss.fiber1.001.Ha.NII1.png;linefits.sdss.sdss.fiber1.001.Hb.png;linefits.sdss.sdss.fiber1.001.OII.png;linefits.sdss.sdss.fiber1.001.OIII4.png;linefits.sdss.sdss.fiber1.001.OIII5.png;linefits.sdss.sdss.fiber1.001.SII1.SII2.png;linefits.sdss.sdss.fiber1.001.png;linefits.sdss.sdss.fiber1.001.fits
