tag,tool,line,component,flux_1e17,fwhm_kms,ew_a,center_a,flux_unit
04545183216,pyqsofit,Ha6563,broad,12631.243335203859,6276.28407033772,383.4227659612153,nan,1e-17
04545183216,pyqsofit,Hb4861,broad,2318.0686270679016,5595.428593674912,49.62080577709747,nan,1e-17
04545183216,pyqsofit,OIII5007,outflow,188.80076533321005,nan,nan,4966.753604275875,1e-17
04545183216,pyqsofit,OIII5007,narrow,145.17118766029455,nan,nan,5005.77628012852,1e-17
04545183216,pyqsofit,OIII4959,outflow,6.6791774302864,nan,nan,4889.457452218668,1e-17
04545183216,pyqsofit,OIII4959,narrow,1.32300255245566,nan,nan,4927.872829435884,1e-17
04545183216,pyqsofit,Ha6563,narrow,398.1095673691848,nan,nan,6553.861074096332,1e-17
04545183216,pyqsofit,NII6585,narrow,1.2854408547347689,nan,nan,6587.542413876101,1e-17
04545183216,pyqsofit,SII6718,narrow,24.721531466849378,nan,nan,6720.597037483655,1e-17
04545183216,pyqsofit,SII6732,narrow,24.774446057366966,nan,nan,6734.981973172167,1e-17
04545183216,badass,Ha6563,broad,5924.566764312505,nan,nan,nan,1e-17
04545183216,badass,Ha6563,narrow,404.81230194075033,nan,nan,nan,1e-17
04545183216,badass,Ha6563,outflow,7629.15408023179,nan,nan,nan,1e-17
04545183216,badass,Hb4861,broad,0.0,nan,nan,nan,1e-17
04545183216,badass,Hb4861,narrow,349.07833640358876,nan,nan,nan,1e-17
04545183216,badass,Hb4861,outflow,895.2830000549274,nan,nan,nan,1e-17
04545183216,badass,OIII5007,broad,0.0,nan,nan,nan,1e-17
04545183216,badass,OIII5007,narrow,0.0,nan,nan,nan,1e-17
04545183216,badass,OIII5007,outflow,0.0,nan,nan,nan,1e-17
04545183216,badass,OIII4959,broad,898.3784757940766,nan,nan,nan,1e-17
04545183216,badass,OIII4959,narrow,0.0,nan,nan,nan,1e-17
04545183216,badass,OIII4959,outflow,898.3784757940766,nan,nan,nan,1e-17
04545183216,badass,OII3727,broad,0.0,nan,nan,nan,1e-17
04545183216,badass,OII3727,narrow,0.0,nan,nan,nan,1e-17
04545183216,fantasy_agn,OIII5007,broad,334.68873521173543,nan,nan,nan,1e-17
04545183216,fantasy_agn,OIII5007,narrow,121.68683994922897,nan,nan,nan,1e-17
04545183216,fantasy_agn,Hb4861,broad,2458.532552817004,nan,nan,nan,1e-17
04545183216,fantasy_agn,Hb4861,narrow,0.0,nan,nan,nan,1e-17
04545183216,fantasy_agn,Ha6563,broad,6940.8120097994815,nan,nan,nan,1e-17
04545183216,fantasy_agn,Ha6563,narrow,561.9269249866511,nan,nan,nan,1e-17
04545183216,gelato,OIII5007,narrow,200.9701487969658,130.0,nan,nan,1e-17
04545183216,gelato,OIII4959,narrow,70.33955207893803,130.0,nan,nan,1e-17
04545183216,gelato,Ha6563,broad,-127.90254181120056,129.99999999999994,nan,nan,1e-17
04545183216,gelato,Hb4861,broad,-177.076557521789,129.99999999999994,nan,nan,1e-17
04545183216,gelato,NII6585,narrow,151.558912304244,130.0,nan,nan,1e-17
04545183216,gelato,SII6718,narrow,-146.76374950102485,129.99999999999994,nan,nan,1e-17
04545183216,gelato,SII6732,narrow,-165.30555181617083,129.99999999999994,nan,nan,1e-17
04545183216,gelato,OII3727,narrow,162.98940619619768,130.0,nan,nan,1e-17
04545183216,gleam,OII3727,total,51.17197036743164,1634.815540053358,0.8728867173194885,3728.48,1e-17
04545183216,gleam,OIII5007,total,178.2762451171875,582.568967693285,3.737959623336792,5008.24,1e-17
04570362657,pyqsofit,Ha6563,broad,5423.128195238039,3074.241760351223,299.25166210798017,nan,1e-17
04570362657,pyqsofit,Hb4861,broad,1734.9721206038912,3280.2106815670168,75.27484900352611,nan,1e-17
04570362657,pyqsofit,OIII5007,outflow,51.93249621883304,nan,nan,4958.407186268613,1e-17
04570362657,pyqsofit,OIII5007,narrow,238.95788144044056,nan,nan,5003.771474118411,1e-17
04570362657,pyqsofit,OIII4959,outflow,0.21082376591362248,nan,nan,4881.240927104596,1e-17
04570362657,pyqsofit,OIII4959,narrow,1.8885794684246786,nan,nan,4925.8992236427675,1e-17
04570362657,pyqsofit,Ha6563,narrow,769.2947395825577,nan,nan,6558.387965189617,1e-17
04570362657,pyqsofit,NII6585,narrow,0.6248902209590669,nan,nan,6592.092569386396,1e-17
04570362657,pyqsofit,SII6718,narrow,24.82198009723362,nan,nan,6725.239096649478,1e-17
04570362657,pyqsofit,SII6732,narrow,24.875109690537425,nan,nan,6739.633968318706,1e-17
04570362657,badass,Ha6563,broad,937.852947433501,nan,nan,nan,1e-17
04570362657,badass,Ha6563,narrow,1043.7463946267962,nan,nan,nan,1e-17
04570362657,badass,Ha6563,outflow,4424.614354091922,nan,nan,nan,1e-17
04570362657,badass,Hb4861,broad,1071.4893377425788,nan,nan,nan,1e-17
04570362657,badass,Hb4861,narrow,0.0,nan,nan,nan,1e-17
04570362657,badass,Hb4861,outflow,1071.4893377425788,nan,nan,nan,1e-17
04570362657,badass,OIII5007,broad,0.0,nan,nan,nan,1e-17
04570362657,badass,OIII5007,narrow,188.36001126479823,nan,nan,nan,1e-17
04570362657,badass,OIII5007,outflow,300.6301610221539,nan,nan,nan,1e-17
04570362657,badass,OIII4959,broad,0.0,nan,nan,nan,1e-17
04570362657,badass,OIII4959,narrow,0.0,nan,nan,nan,1e-17
04570362657,badass,OIII4959,outflow,0.0,nan,nan,nan,1e-17
04570362657,badass,OII3727,broad,0.0,nan,nan,nan,1e-17
04570362657,badass,OII3727,narrow,0.0,nan,nan,nan,1e-17
04570362657,fantasy_agn,OIII5007,broad,111.84003502351722,nan,nan,nan,1e-17
04570362657,fantasy_agn,OIII5007,narrow,235.63780225289588,nan,nan,nan,1e-17
04570362657,fantasy_agn,Hb4861,broad,1349.346779717736,nan,nan,nan,1e-17
04570362657,fantasy_agn,Hb4861,narrow,0.0,nan,nan,nan,1e-17
04570362657,fantasy_agn,Ha6563,broad,3975.1348531198714,nan,nan,nan,1e-17
04570362657,fantasy_agn,Ha6563,narrow,719.4106918480921,nan,nan,nan,1e-17
04570362657,gelato,OIII5007,narrow,130.40301178577974,130.0,nan,nan,1e-17
04570362657,gelato,OIII4959,narrow,45.641054125022904,130.0,nan,nan,1e-17
04570362657,gelato,Ha6563,broad,-236.92235986672634,129.99999999999994,nan,nan,1e-17
04570362657,gelato,Hb4861,broad,-289.37058217353024,129.99999999999994,nan,nan,1e-17
04570362657,gelato,NII6585,narrow,114.50113236982232,130.0,nan,nan,1e-17
04570362657,gelato,SII6718,narrow,-110.62056875578135,130.0,nan,nan,1e-17
04570362657,gelato,SII6732,narrow,-102.6651714169851,130.0,nan,nan,1e-17
04570362657,gelato,OII3727,narrow,150.80316118557838,130.00000000000003,nan,nan,1e-17
04570362657,gleam,OII3727,total,67.2755355834961,510.58791172011325,1.7768528461456299,3728.48,1e-17
04570362657,gleam,Hb4861,total,1036.6881103515625,2718.6813209579577,35.509483337402344,4862.68,1e-17
04570362657,gleam,OIII5007,total,304.4320373535156,807.2957009976225,11.243814468383789,5008.24,1e-17
04570362657,gleam,Ha6563,total,4460.1728515625,2370.0925913712495,176.21966552734375,6564.6,1e-17
04570362657,gleam,SII6718,total,37.9168586730957,359.5844195779623,1.9877333641052246,6718.29,1e-17
04570362657,gleam,SII6732,total,22.284547805786133,311.60939810349976,1.1682332754135132,6732.67,1e-17
04570493016,pyqsofit,Ha6563,broad,15795.552769102636,3069.9702176513606,596.6712758817846,nan,1e-17
04570493016,pyqsofit,Hb4861,broad,6407.088907004996,3215.4685304453974,143.86843615056893,nan,1e-17
04570493016,pyqsofit,OIII5007,outflow,48.6711339626614,nan,nan,5034.02684224893,1e-17
04570493016,pyqsofit,OIII5007,narrow,1150.1775158224473,nan,nan,5003.807746404064,1e-17
04570493016,pyqsofit,OIII4959,outflow,335.9728817053769,nan,nan,4955.683736216139,1e-17
04570493016,pyqsofit,OIII4959,narrow,30.78419240936042,nan,nan,4925.934931433315,1e-17
04570493016,pyqsofit,Ha6563,narrow,1414.2508955163955,nan,nan,6559.967781086704,1e-17
04570493016,pyqsofit,NII6585,narrow,7.423643891958701,nan,nan,6593.680504209932,1e-17
04570493016,pyqsofit,SII6718,narrow,10.195525892414695,nan,nan,6726.859104446057,1e-17
04570493016,pyqsofit,SII6732,narrow,10.217348653615069,nan,nan,6741.2574436209015,1e-17
04570493016,badass,Ha6563,broad,0.0,nan,nan,nan,1e-17
04570493016,badass,Ha6563,narrow,2968.3416096530855,nan,nan,nan,1e-17
04570493016,badass,Ha6563,outflow,11321.655878673108,nan,nan,nan,1e-17
04570493016,badass,Hb4861,broad,3521.165121491038,nan,nan,nan,1e-17
04570493016,badass,Hb4861,narrow,0.0,nan,nan,nan,1e-17
04570493016,badass,Hb4861,outflow,3521.165121491038,nan,nan,nan,1e-17
04570493016,badass,OIII5007,broad,0.0,nan,nan,nan,1e-17
04570493016,badass,OIII5007,narrow,817.4226663638838,nan,nan,nan,1e-17
04570493016,badass,OIII5007,outflow,1291.1014620144372,nan,nan,nan,1e-17
04570493016,badass,OIII4959,broad,1264.1980310848357,nan,nan,nan,1e-17
04570493016,badass,OIII4959,narrow,0.0,nan,nan,nan,1e-17
04570493016,badass,OIII4959,outflow,1264.1980310848357,nan,nan,nan,1e-17
04570493016,badass,OII3727,broad,0.0030312162577832424,nan,nan,nan,1e-17
04570493016,badass,OII3727,narrow,0.0,nan,nan,nan,1e-17
04570493016,fantasy_agn,OIII5007,broad,1269.604468418776,nan,nan,nan,1e-17
04570493016,fantasy_agn,OIII5007,narrow,0.0,nan,nan,nan,1e-17
04570493016,fantasy_agn,Hb4861,broad,3166.8778232637046,nan,nan,nan,1e-17
04570493016,fantasy_agn,Hb4861,narrow,8.932832373417655,nan,nan,nan,1e-17
04570493016,fantasy_agn,Ha6563,broad,6940.834123483506,nan,nan,nan,1e-17
04570493016,fantasy_agn,Ha6563,narrow,844.6893760177142,nan,nan,nan,1e-17
04570493016,gelato,OIII5007,narrow,15.802763078548452,130.0,nan,nan,1e-17
04570493016,gelato,OIII4959,narrow,5.530967077491958,130.0,nan,nan,1e-17
04570493016,gelato,Ha6563,broad,-671.7780714590634,129.99999999999991,nan,nan,1e-17
04570493016,gelato,Hb4861,broad,-589.0899093566533,129.99999999999991,nan,nan,1e-17
04570493016,gelato,NII6585,narrow,520.1633354969631,130.0,nan,nan,1e-17
04570493016,gelato,SII6718,narrow,-175.97670651174226,130.0,nan,nan,1e-17
04570493016,gelato,SII6732,narrow,-151.09588622366167,130.0,nan,nan,1e-17
04570493016,gelato,OII3727,narrow,662.0112380541743,130.0,nan,nan,1e-17
04570493016,gleam,OII3727,total,90.32156372070312,540.9879867408737,0.9054864645004272,3728.48,1e-17
04570493016,gleam,Hb4861,total,3061.060546875,2670.632350603142,57.038509368896484,4862.68,1e-17
04570493016,gleam,OIII4959,total,207.12667846679688,439.9086227485214,3.8144967555999756,4960.3,1e-17
04570493016,gleam,OIII5007,total,1097.457275390625,622.6454958289198,23.78776741027832,5008.24,1e-17
04570493016,gleam,Ha6563,total,12301.9169921875,2486.288418830453,256.637451171875,6564.6,1e-17
04592503068,pyqsofit,Ha6563,broad,3632.802186979765,3048.3154000398154,190.65396332339571,nan,1e-17
04592503068,pyqsofit,Hb4861,broad,1781.6036344827944,8403.35623984167,93.30458371241757,nan,1e-17
04592503068,pyqsofit,OIII5007,outflow,296.2972727997065,nan,nan,4958.4071863776635,1e-17
04592503068,pyqsofit,OIII5007,narrow,692.9977715499392,nan,nan,5004.761124790967,1e-17
04592503068,pyqsofit,OIII4959,outflow,7.54783448484381,nan,nan,4881.240927211949,1e-17
04592503068,pyqsofit,OIII4959,narrow,1.466453379040642,nan,nan,4926.873472667697,1e-17
