tag,tool,chi2_red,chi2_kind
04545183216,pyqsofit,2.7988727369076147,line_complex_reduced (reported)
04545183216,badass,2.075759641447285,line_window_computed
04545183216,fantasy_agn,10.961799432857054,line_window_computed
04545183216,gelato,nan,n/a (degenerate summary)
04545183216,gleam,31.575066142857146,mean_line_reduced (reported)
04570362657,pyqsofit,4.9793280308972765,line_complex_reduced (reported)
04570362657,badass,8.192949037831315,line_window_computed
04570362657,fantasy_agn,22.710794958752587,line_window_computed
04570362657,gelato,nan,n/a (degenerate summary)
04570362657,gleam,4.0555008575,mean_line_reduced (reported)
04570493016,pyqsofit,4.589109913498399,line_complex_reduced (reported)
04570493016,badass,23.531428444161733,line_window_computed
04570493016,fantasy_agn,203.59608797700517,line_window_computed
04570493016,gelato,nan,n/a (degenerate summary)
04570493016,gleam,19.196097982,mean_line_reduced (reported)
04592503068,pyqsofit,17.917807556963858,line_complex_reduced (reported)
04592503068,badass,39.68565492071989,line_window_computed
04592503068,fantasy_agn,64.29614731035008,line_window_computed
04592503068,gelato,nan,n/a (degenerate summary)
04592503068,gleam,14.848840516666668,mean_line_reduced (reported)
04592517882,pyqsofit,8.167508834252414,line_complex_reduced (reported)
04592517882,badass,6.866626092778352,line_window_computed
04592517882,fantasy_agn,9.506059591828919,line_window_computed
04592517882,gelato,nan,n/a (degenerate summary)
04592517882,gleam,2.167812873333333,mean_line_reduced (reported)
04592660180,pyqsofit,4.352208469528408,line_complex_reduced (reported)
04592660180,badass,11.275745313962254,line_window_computed
04592660180,fantasy_agn,29.89743816863686,line_window_computed
04592660180,gelato,nan,n/a (degenerate summary)
04592660180,gleam,4.6008153875,mean_line_reduced (reported)
04592939295,pyqsofit,5.066736055087005,line_complex_reduced (reported)
04592939295,badass,10.16085424794107,line_window_computed
04592939295,fantasy_agn,48.588464729463745,line_window_computed
04592939295,gelato,nan,n/a (degenerate summary)
04592939295,gleam,8.967142162857144,mean_line_reduced (reported)
04592975881,pyqsofit,4.407229412125145,line_complex_reduced (reported)
04592975881,badass,24.71610061485699,line_window_computed
04592975881,fantasy_agn,51.72384989334458,line_window_computed
04592975881,gelato,nan,n/a (degenerate summary)
04592975881,gleam,10.499363056,mean_line_reduced (reported)
04592979214,pyqsofit,9.665266013427717,line_complex_reduced (reported)
04592979214,badass,98.03965461296927,line_window_computed
04592979214,fantasy_agn,196.30796550307448,line_window_computed
04592979214,gelato,nan,n/a (degenerate summary)
04592979214,gleam,21.076565823333333,mean_line_reduced (reported)
06872228427,pyqsofit,13.245184409694872,line_complex_reduced (reported)
06872228427,badass,17.58427776511103,line_window_computed
06872228427,fantasy_agn,87.1353167167565,line_window_computed
06872228427,gelato,nan,n/a (degenerate summary)
06872228427,gleam,2.9561540149999996,mean_line_reduced (reported)
