,wave,flux,error,model,cont,OIIIb_br,OIIIb_na,hbeta_br,hbeta_na,halpha_br,halpha_na
0,2900.551,178.6654,4.976805,186.70251278763084,186.70251278763084,0.0,0.0,0.0,0.0,0.0,0.0
1,2901.2205,178.45139,4.9577827,186.58678149785857,186.58678149785857,0.0,0.0,0.0,0.0,0.0,0.0
2,2901.8877,183.7166,5.0071216,186.47152800072976,186.47152800072976,0.0,0.0,0.0,0.0,0.0,0.0
3,2902.557,186.87822,5.0208535,186.35603522851207,186.35603522851207,0.0,0.0,0.0,0.0,0.0,0.0
4,2903.2246,177.7678,4.920884,186.24089307672745,186.24089307672745,0.0,0.0,0.0,0.0,0.0,0.0
5,2903.8926,175.37813,5.1513186,186.12580647525533,186.12580647525533,0.0,0.0,0.0,0.0,0.0,0.0
6,2904.5623,181.09251,5.2805214,186.01052336414395,186.01052336414395,0.0,0.0,0.0,0.0,0.0,0.0
7,2905.2305,180.62445,5.22522,185.89559005697967,185.89559005697967,0.0,0.0,0.0,0.0,0.0,0.0
8,2905.9004,170.43507,5.2724442,185.78046059991965,185.78046059991965,0.0,0.0,0.0,0.0,0.0,0.0
9,2906.5688,177.82913,5.4686046,185.6656803795493,185.6656803795493,0.0,0.0,0.0,0.0,0.0,0.0
10,2907.239,181.42148,5.025298,185.55070436832528,185.55070436832528,0.0,0.0,0.0,0.0,0.0,0.0
11,2907.908,176.2166,4.817569,185.4360351951703,185.4360351951703,0.0,0.0,0.0,0.0,0.0,0.0
12,2908.577,173.03357,4.77976,185.32146323826507,185.32146323826507,0.0,0.0,0.0,0.0,0.0,0.0
13,2909.2476,179.37143,4.885126,185.20669606314982,185.20669606314982,0.0,0.0,0.0,0.0,0.0,0.0
14,2909.9167,187.83153,5.133986,185.09227674637413,185.09227674637413,0.0,0.0,0.0,0.0,0.0,0.0
15,2910.588,191.45027,5.4704137,184.97762087818387,184.97762087818387,0.0,0.0,0.0,0.0,0.0,0.0
16,2911.2576,185.21729,5.413743,184.86331237493053,184.86331237493053,0.0,0.0,0.0,0.0,0.0,0.0
17,2911.929,184.74634,5.1417966,184.74880943817456,184.74880943817456,0.0,0.0,0.0,0.0,0.0,0.0
18,2912.5984,181.16537,5.1086874,184.63473647179768,184.63473647179768,0.0,0.0,0.0,0.0,0.0,0.0
19,2913.2686,171.24165,4.6916437,184.52063548326655,184.52063548326655,0.0,0.0,0.0,0.0,0.0,0.0
20,2913.9402,177.68564,4.75284,184.40638214372427,184.40638214372427,0.0,0.0,0.0,0.0,0.0,0.0
21,2914.6106,176.48578,4.726664,184.2924332488207,184.2924332488207,0.0,0.0,0.0,0.0,0.0,0.0
22,2915.283,171.75343,4.6473694,184.17824940028433,184.17824940028433,0.0,0.0,0.0,0.0,0.0,0.0
23,2915.9534,176.49316,4.8361974,184.0644938712731,184.0644938712731,0.0,0.0,0.0,0.0,0.0,0.0
24,2916.626,184.86969,4.8996754,183.95046236959763,183.95046236959763,0.0,0.0,0.0,0.0,0.0,0.0
25,2917.2969,182.73083,4.894773,183.836817148397,183.836817148397,0.0,0.0,0.0,0.0,0.0,0.0
26,2917.968,172.7277,4.625243,183.72322694263235,183.72322694263235,0.0,0.0,0.0,0.0,0.0,0.0
27,2918.6414,184.8066,5.065446,183.60936160984474,183.60936160984474,0.0,0.0,0.0,0.0,0.0,0.0
28,2919.3125,194.21909,5.1825624,183.4959641845257,183.4959641845257,0.0,0.0,0.0,0.0,0.0,0.0
29,2919.9858,190.54213,5.136151,183.3822920546504,183.3822920546504,0.0,0.0,0.0,0.0,0.0,0.0
30,2920.6575,180.59532,4.718949,183.26900466805955,183.26900466805955,0.0,0.0,0.0,0.0,0.0,0.0
31,2921.331,176.78821,4.6484003,183.1554842664873,183.1554842664873,0.0,0.0,0.0,0.0,0.0,0.0
32,2922.0032,181.91803,4.690721,183.0423068877926,183.0423068877926,0.0,0.0,0.0,0.0,0.0,0.0
33,2922.677,176.88087,4.6392226,182.92893804301565,182.92893804301565,0.0,0.0,0.0,0.0,0.0,0.0
34,2923.3494,175.24115,4.6063213,182.81591166451707,182.81591166451707,0.0,0.0,0.0,0.0,0.0,0.0
35,2924.022,182.90627,4.7087717,182.7029401017624,182.7029401017624,0.0,0.0,0.0,0.0,0.0,0.0
36,2924.696,183.59386,4.661709,182.58981858659214,182.58981858659214,0.0,0.0,0.0,0.0,0.0,0.0
37,2925.369,176.0234,4.631546,182.47699775107992,182.47699775107992,0.0,0.0,0.0,0.0,0.0,0.0
38,2926.0435,187.78348,4.7085285,182.36398635857353,182.36398635857353,0.0,0.0,0.0,0.0,0.0,0.0
39,2926.7166,191.60214,5.0622973,182.25131607993725,182.25131607993725,0.0,0.0,0.0,0.0,0.0,0.0
40,2927.3916,191.89911,5.0361824,182.13841477794927,182.13841477794927,0.0,0.0,0.0,0.0,0.0,0.0
41,2928.0652,185.85234,4.7572374,182.02585410555463,182.02585410555463,0.0,0.0,0.0,0.0,0.0,0.0
42,2928.7385,182.79861,4.637211,181.9134296078295,181.9134296078295,0.0,0.0,0.0,0.0,0.0,0.0
43,2929.414,186.39034,4.6825476,181.80073396632184,181.80073396632184,0.0,0.0,0.0,0.0,0.0,0.0
44,2930.088,182.77245,4.6148047,181.68841883710814,181.68841883710814,0.0,0.0,0.0,0.0,0.0,0.0
45,2930.7634,187.40344,4.6725082,181.57591440253267,181.57591440253267,0.0,0.0,0.0,0.0,0.0,0.0
46,2931.4375,193.18077,5.2880917,181.4637491831727,181.4637491831727,0.0,0.0,0.0,0.0,0.0,0.0
47,2932.1138,195.54593,5.324965,181.35131385840356,181.35131385840356,0.0,0.0,0.0,0.0,0.0,0.0
48,2932.7883,186.91019,4.683532,181.2392578747724,181.2392578747724,0.0,0.0,0.0,0.0,0.0,0.0
49,2933.463,175.73671,4.81523,181.12729687668724,181.12729687668724,0.0,0.0,0.0,0.0,0.0,0.0
50,2934.1394,186.39494,4.9076705,181.0151070019333,181.0151070019333,0.0,0.0,0.0,0.0,0.0,0.0
51,2934.8142,188.04773,5.0091,180.90329550671981,180.90329550671981,0.0,0.0,0.0,0.0,0.0,0.0
52,2935.4912,190.8501,4.7194843,180.79121514677698,180.79121514677698,0.0,0.0,0.0,0.0,0.0,0.0
53,2936.1665,189.33261,4.9417744,180.679512617815,180.679512617815,0.0,0.0,0.0,0.0,0.0,0.0
54,2936.8435,191.55579,5.3139763,180.56762243919687,180.56762243919687,0.0,0.0,0.0,0.0,0.0,0.0
55,2937.5193,198.69006,5.049433,180.456028809772,180.456028809772,0.0,0.0,0.0,0.0,0.0,0.0
56,2938.1948,189.58989,4.6719546,180.34457005688813,180.34457005688813,0.0,0.0,0.0,0.0,0.0,0.0
57,2938.8726,182.50032,4.5468516,180.23284367417097,180.23284367417097,0.0,0.0,0.0,0.0,0.0,0.0
58,2939.5486,185.57854,4.8648047,180.12149361813218,180.12149361813218,0.0,0.0,0.0,0.0,0.0,0.0
59,2940.2266,198.4029,5.0145297,180.00991664122236,180.00991664122236,0.0,0.0,0.0,0.0,0.0,0.0
60,2940.903,195.33852,4.9175415,179.89867524923923,179.89867524923923,0.0,0.0,0.0,0.0,0.0,0.0
61,2941.5813,177.24174,4.57409,179.7872475079683,179.7872475079683,0.0,0.0,0.0,0.0,0.0,0.0
62,2942.258,189.74297,5.4574895,179.6761548067294,179.6761548067294,0.0,0.0,0.0,0.0,0.0,0.0
63,2942.9353,187.2805,6.3326178,179.5650762256183,179.5650762256183,0.0,0.0,0.0,0.0,0.0,0.0
64,2943.614,198.48764,5.7813587,179.45385189975045,179.45385189975045,0.0,0.0,0.0,0.0,0.0,0.0
65,2944.291,187.39326,4.8395915,179.34300179025,179.34300179025,0.0,0.0,0.0,0.0,0.0,0.0
66,2944.97,183.44887,5.135193,179.23192622421257,179.23192622421257,0.0,0.0,0.0,0.0,0.0,0.0
67,2945.6472,206.27428,5.4836445,179.12122426411264,179.12122426411264,0.0,0.0,0.0,0.0,0.0,0.0
68,2946.3267,190.66603,5.4190326,179.01025739819815,179.01025739819815,0.0,0.0,0.0,0.0,0.0,0.0
69,2947.0044,182.98914,4.553434,178.89966359639033,178.89966359639033,0.0,0.0,0.0,0.0,0.0,0.0
70,2947.6824,189.37268,4.794948,178.78912373880365,178.78912373880365,0.0,0.0,0.0,0.0,0.0,0.0
71,2948.362,190.97414,5.181443,178.6783992965645,178.6783992965645,0.0,0.0,0.0,0.0,0.0,0.0
72,2949.0405,190.41258,5.0407596,178.56796753024395,178.56796753024395,0.0,0.0,0.0,0.0,0.0,0.0
73,2949.7205,193.82066,4.8092375,178.45739127154926,178.45739127154926,0.0,0.0,0.0,0.0,0.0,0.0
74,2950.3992,188.21925,4.754486,178.34710721636063,178.34710721636063,0.0,0.0,0.0,0.0,0.0,0.0
75,2951.0793,182.5361,4.5189285,178.2366789381556,178.2366789381556,0.0,0.0,0.0,0.0,0.0,0.0
76,2951.7585,180.4178,4.4824443,178.12650280542206,178.12650280542206,0.0,0.0,0.0,0.0,0.0,0.0
77,2952.4375,181.81789,4.500638,178.016459655478,178.016459655478,0.0,0.0,0.0,0.0,0.0,0.0
78,2953.1182,180.67113,4.4618278,177.90623313262907,177.90623313262907,0.0,0.0,0.0,0.0,0.0,0.0
79,2953.7976,177.17334,4.4300947,177.79629766945837,177.79629766945837,0.0,0.0,0.0,0.0,0.0,0.0
80,2954.4788,182.23021,4.792345,177.68617923559145,177.68617923559145,0.0,0.0,0.0,0.0,0.0,0.0
81,2955.1584,184.68338,4.764124,177.57639087726744,177.57639087726744,0.0,0.0,0.0,0.0,0.0,0.0
82,2955.8398,187.96759,4.7818785,177.46641988268206,177.46641988268206,0.0,0.0,0.0,0.0,0.0,0.0
83,2956.52,183.3576,5.012932,177.35673907568244,177.35673907568244,0.0,0.0,0.0,0.0,0.0,0.0
84,2957.2002,178.13033,5.0222764,177.24715126231027,177.24715126231027,0.0,0.0,0.0,0.0,0.0,0.0
85,2957.8818,181.87698,4.485797,177.13742063150377,177.13742063150377,0.0,0.0,0.0,0.0,0.0,0.0
86,2958.5625,185.54031,4.4824176,177.0279402010185,177.0279402010185,0.0,0.0,0.0,0.0,0.0,0.0
87,2959.2446,184.86736,4.45024,176.91831728589145,176.91831728589145,0.0,0.0,0.0,0.0,0.0,0.0
88,2959.9253,181.03526,4.5949574,176.80902260731,176.80902260731,0.0,0.0,0.0,0.0,0.0,0.0
89,2960.608,185.79407,4.6521826,176.69950733921922,176.69950733921922,0.0,0.0,0.0,0.0,0.0,0.0
90,2961.2888,184.52975,4.600319,176.5903589596974,176.5903589596974,0.0,0.0,0.0,0.0,0.0,0.0
91,2961.9702,174.84517,4.308931,176.4812249017339,176.4812249017339,0.0,0.0,0.0,0.0,0.0,0.0
92,2962.6533,190.04402,4.5955744,176.37191000268513,176.37191000268513,0.0,0.0,0.0,0.0,0.0,0.0
93,2963.335,188.18724,4.760572,176.2629221085967,176.2629221085967,0.0,0.0,0.0,0.0,0.0,0.0
94,2964.018,180.00824,4.7228327,176.15379268998512,176.15379268998512,0.0,0.0,0.0,0.0,0.0,0.0
95,2964.7,178.61305,4.5296917,176.04495072590714,176.04495072590714,0.0,0.0,0.0,0.0,0.0,0.0
96,2965.3835,182.96054,4.5580893,175.93592858102343,175.93592858102343,0.0,0.0,0.0,0.0,0.0,0.0
97,2966.066,185.1323,4.568822,175.82719349257218,175.82719349257218,0.0,0.0,0.0,0.0,0.0,0.0
98,2966.748,182.05913,4.51791,175.71858945003956,175.71858945003956,0.0,0.0,0.0,0.0,0.0,0.0
99,2967.4324,177.74455,4.4721856,175.6097280452169,175.6097280452169,0.0,0.0,0.0,0.0,0.0,0.0
100,2968.1155,179.47356,4.2356024,175.501153100862,175.501153100862,0.0,0.0,0.0,0.0,0.0,0.0
101,2968.7998,180.43799,4.2512937,175.39247647235325,175.39247647235325,0.0,0.0,0.0,0.0,0.0,0.0
102,2969.4827,177.38794,4.2051344,175.28412449788914,175.28412449788914,0.0,0.0,0.0,0.0,0.0,0.0
103,2970.1677,180.06163,4.827797,175.1755161463463,175.1755161463463,0.0,0.0,0.0,0.0,0.0,0.0
104,2970.8508,195.05312,4.900559,175.06730936564526,175.06730936564526,0.0,0.0,0.0,0.0,0.0,0.0
105,2971.5344,175.04573,4.1661305,174.95911703204177,174.95911703204177,0.0,0.0,0.0,0.0,0.0,0.0
106,2972.2195,165.31247,4.035639,174.85078487945333,174.85078487945333,0.0,0.0,0.0,0.0,0.0,0.0
107,2972.903,160.18994,4.3462567,174.74277609676105,174.74277609676105,0.0,0.0,0.0,0.0,0.0,0.0
108,2973.5886,160.47241,4.405361,174.63455063909163,174.63455063909163,0.0,0.0,0.0,0.0,0.0,0.0
109,2974.2727,169.21559,4.020959,174.52664809130127,174.52664809130127,0.0,0.0,0.0,0.0,0.0,0.0
110,2974.9587,170.42752,4.087991,174.41852932468802,174.41852932468802,0.0,0.0,0.0,0.0,0.0,0.0
111,2975.643,179.58607,4.176817,174.31077143587757,174.31077143587757,0.0,0.0,0.0,0.0,0.0,0.0
112,2976.329,176.08762,4.140022,174.20283611304097,174.20283611304097,0.0,0.0,0.0,0.0,0.0,0.0
113,2977.014,170.30286,4.0847363,174.0951842890822,174.0951842890822,0.0,0.0,0.0,0.0,0.0,0.0
114,2977.6987,173.29546,4.116886,173.98762372832005,173.98762372832005,0.0,0.0,0.0,0.0,0.0,0.0
115,2978.3855,179.79063,4.3939795,173.87984795462242,173.87984795462242,0.0,0.0,0.0,0.0,0.0,0.0
116,2979.0706,175.75342,4.6699667,173.77243162024882,173.77243162024882,0.0,0.0,0.0,0.0,0.0,0.0
117,2979.7576,175.47859,4.8862348,173.66480046103754,173.66480046103754,0.0,0.0,0.0,0.0,0.0,0.0
118,2980.443,165.9699,4.936408,173.5574899544225,173.5574899544225,0.0,0.0,0.0,0.0,0.0,0.0
119,2981.1304,168.89241,4.3674355,173.45000324257234,173.45000324257234,0.0,0.0,0.0,0.0,0.0,0.0
120,2981.8162,175.54836,4.7824388,173.3428366620906,173.3428366620906,0.0,0.0,0.0,0.0,0.0,0.0
121,2982.5027,175.01741,4.993207,173.2356466085556,173.2356466085556,0.0,0.0,0.0,0.0,0.0,0.0
122,2983.1904,188.08495,5.163456,173.12835713447637,173.12835713447637,0.0,0.0,0.0,0.0,0.0,0.0
123,2983.8765,171.79578,4.2150636,173.02142508191713,173.02142508191713,0.0,0.0,0.0,0.0,0.0,0.0
124,2984.5647,168.28853,4.0405755,172.91424158376228,172.91424158376228,0.0,0.0,0.0,0.0,0.0,0.0
125,2985.251,173.49164,4.0807776,172.8074529614035,172.8074529614035,0.0,0.0,0.0,0.0,0.0,0.0
126,2985.9395,177.06357,4.3370605,172.70041334272054,172.70041334272054,0.0,0.0,0.0,0.0,0.0,0.0
127,2986.6265,173.87662,4.288932,172.59369213455773,172.59369213455773,0.0,0.0,0.0,0.0,0.0,0.0
128,2987.3135,163.94562,4.1597176,172.48706139881438,172.48706139881438,0.0,0.0,0.0,0.0,0.0,0.0
129,2988.0024,179.84439,4.3213444,172.38021828015223,172.38021828015223,0.0,0.0,0.0,0.0,0.0,0.0
130,2988.6897,167.93172,4.170139,172.27373064083915,172.27373064083915,0.0,0.0,0.0,0.0,0.0,0.0
131,2989.379,168.95358,4.3878655,172.16703100149047,172.16703100149047,0.0,0.0,0.0,0.0,0.0,0.0
132,2990.0667,175.52742,4.3940597,172.06064851243312,172.06064851243312,0.0,0.0,0.0,0.0,0.0,0.0
133,2990.7563,163.379,3.9638205,171.95405446964423,171.95405446964423,0.0,0.0,0.0,0.0,0.0,0.0
134,2991.4443,167.94102,3.9463747,171.84781480981593,171.84781480981593,0.0,0.0,0.0,0.0,0.0,0.0
135,2992.1323,166.31023,4.176584,171.7416651969479,171.7416651969479,0.0,0.0,0.0,0.0,0.0,0.0
136,2992.8225,160.70679,4.137294,171.63526694951463,171.63526694951463,0.0,0.0,0.0,0.0,0.0,0.0
137,2993.5112,166.82588,4.0691004,171.52918466080513,171.52918466080513,0.0,0.0,0.0,0.0,0.0,0.0
138,2994.2017,171.16026,4.1141205,171.42292942273104,171.42292942273104,0.0,0.0,0.0,0.0,0.0,0.0
139,2994.8904,162.43077,3.9992292,171.3170271541928,171.3170271541928,0.0,0.0,0.0,0.0,0.0,0.0
140,2995.581,164.38821,3.8912675,171.21091469540937,171.21091469540937,0.0,0.0,0.0,0.0,0.0,0.0
141,2996.27,156.9868,3.8354597,171.10515462952563,171.10515462952563,0.0,0.0,0.0,0.0,0.0,0.0
142,2996.9592,160.44196,3.8335836,170.99944675741915,170.99944675741915,0.0,0.0,0.0,0.0,0.0,0.0
143,2997.6504,163.22264,3.8708851,170.89352929464,170.89352929464,0.0,0.0,0.0,0.0,0.0,0.0
144,2998.34,159.72177,3.8455229,170.78792602788258,170.78792602788258,0.0,0.0,0.0,0.0,0.0,0.0
145,2999.0315,159.24779,4.0808063,170.68215094578179,170.68215094578179,0.0,0.0,0.0,0.0,0.0,0.0
146,2999.7214,167.92816,4.1405506,170.57668954866017,170.57668954866017,0.0,0.0,0.0,0.0,0.0,0.0
147,3000.413,165.22371,4.081517,170.47105664979972,170.47105664979972,0.0,0.0,0.0,0.0,0.0,0.0
148,3001.1033,157.04002,4.0220337,170.36573692574996,170.36573692574996,0.0,0.0,0.0,0.0,0.0,0.0
149,3001.794,163.96184,4.548601,170.26043205065665,170.26043205065665,0.0,0.0,0.0,0.0,0.0,0.0
150,3002.486,167.35606,5.1599884,170.15499341373746,170.15499341373746,0.0,0.0,0.0,0.0,0.0,0.0
151,3003.1768,155.72588,4.1949973,170.04986721969874,170.04986721969874,0.0,0.0,0.0,0.0,0.0,0.0
152,3003.8694,167.16907,3.940046,169.9445332238707,169.9445332238707,0.0,0.0,0.0,0.0,0.0,0.0
153,3004.5603,159.23645,3.9184952,169.8395483071114,169.8395483071114,0.0,0.0,0.0,0.0,0.0,0.0
154,3005.2532,165.19998,3.9400945,169.73435596302386,169.73435596302386,0.0,0.0,0.0,0.0,0.0,0.0
155,3005.9446,164.26057,3.9641747,169.62947510909987,169.62947510909987,0.0,0.0,0.0,0.0,0.0,0.0
156,3006.636,156.03777,3.8744338,169.52468316111919,169.52468316111919,0.0,0.0,0.0,0.0,0.0,0.0
157,3007.3293,156.622,3.8744018,169.41968437742503,169.41968437742503,0.0,0.0,0.0,0.0,0.0,0.0
158,3008.021,156.942,3.851606,169.31503328020204,169.31503328020204,0.0,0.0,0.0,0.0,0.0,0.0
159,3008.7146,152.43898,3.8200843,169.2101757199206,169.2101757199206,0.0,0.0,0.0,0.0,0.0,0.0
160,3009.407,156.81232,3.8553712,169.10559155454877,169.10559155454877,0.0,0.0,0.0,0.0,0.0,0.0
161,3010.1008,163.1013,4.1419373,169.00087508413262,169.00087508413262,0.0,0.0,0.0,0.0,0.0,0.0
162,3010.7932,160.18993,4.1010804,168.89646836552652,168.89646836552652,0.0,0.0,0.0,0.0,0.0,0.0
163,3011.4858,149.23694,3.7807634,168.79211336524486,168.79211336524486,0.0,0.0,0.0,0.0,0.0,0.0
164,3012.1804,146.7072,3.74894,168.687552924082,168.687552924082,0.0,0.0,0.0,0.0,0.0,0.0
165,3012.8733,152.60075,3.834061,168.58333827856,168.58333827856,0.0,0.0,0.0,0.0,0.0,0.0
166,3013.568,156.39899,3.874269,168.47891856229398,168.47891856229398,0.0,0.0,0.0,0.0,0.0,0.0
167,3014.2615,154.95093,3.881429,168.37480743315757,168.37480743315757,0.0,0.0,0.0,0.0,0.0,0.0
168,3014.9565,152.5474,3.8517778,168.2705282771462,168.2705282771462,0.0,0.0,0.0,0.0,0.0,0.0
169,3015.6501,154.57498,4.0021505,168.1665572061009,168.1665572061009,0.0,0.0,0.0,0.0,0.0,0.0
170,3016.3438,159.2053,4.0260973,168.0626742653264,168.0626742653264,0.0,0.0,0.0,0.0,0.0,0.0
171,3017.0396,155.60074,3.8624144,167.9585506879263,167.9585506879263,0.0,0.0,0.0,0.0,0.0,0.0
172,3017.7336,151.57413,3.8172538,167.85477102520838,167.85477102520838,0.0,0.0,0.0,0.0,0.0,0.0
173,3018.4294,149.31212,3.7893245,167.75082413172606,167.75082413172606,0.0,0.0,0.0,0.0,0.0,0.0
174,3019.1235,149.81969,3.7913635,167.64722052883351,167.64722052883351,0.0,0.0,0.0,0.0,0.0,0.0
175,3019.82,150.9065,3.7906008,167.54334075256097,167.54334075256097,0.0,0.0,0.0,0.0,0.0,0.0
176,3020.515,147.25058,3.7729836,167.43980382927072,167.43980382927072,0.0,0.0,0.0,0.0,0.0,0.0
177,3021.2097,152.53215,3.800084,167.33635468110452,167.33635468110452,0.0,0.0,0.0,0.0,0.0,0.0
178,3021.9065,153.29495,3.8439667,167.2327027917438,167.2327027917438,0.0,0.0,0.0,0.0,0.0,0.0
179,3022.6016,152.47775,3.8391256,167.1293928843854,167.1293928843854,0.0,0.0,0.0,0.0,0.0,0.0
180,3023.2988,154.37968,3.8846438,167.0258443599089,167.0258443599089,0.0,0.0,0.0,0.0,0.0,0.0
181,3023.9941,156.695,3.8998423,166.92267353015043,166.92267353015043,0.0,0.0,0.0,0.0,0.0,0.0
182,3024.6914,153.65794,3.8579736,166.81930068885373,166.81930068885373,0.0,0.0,0.0,0.0,0.0,0.0
183,3025.3875,147.9878,3.7789896,166.71619641441808,166.71619641441808,0.0,0.0,0.0,0.0,0.0,0.0
